# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 1.044000e+00
# Aref        : 1.120000e-01
# CofR        : (5.220000e-01 0.000000e+00 1.940000e-01)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	7.417088e-01	3.708103e-01	3.708985e-01	-5.618352e-03	-7.609109e-02	7.047273e-02	-7.328191e-02	-4.409866e-05	-3.475184e-04	1.074595e-03	1.897792e-04	8.848159e-04
2             	6.653778e-01	3.326444e-01	3.327333e-01	9.480625e-02	-5.999033e-02	1.547966e-01	-1.073935e-01	-4.444419e-05	-2.844732e-04	-3.040442e-04	-4.364953e-04	1.324512e-04
3             	4.948051e-01	2.473661e-01	2.474390e-01	1.729981e-01	-3.591763e-02	2.089158e-01	-1.224167e-01	-3.643363e-05	-1.237883e-04	-3.667177e-04	-3.071471e-04	-5.957052e-05
4             	4.143033e-01	2.071395e-01	2.071638e-01	2.692923e-01	-8.156372e-03	2.774487e-01	-1.428025e-01	-1.216222e-05	2.806011e-05	-5.280088e-05	1.659669e-06	-5.446055e-05
5             	3.827382e-01	1.913771e-01	1.913611e-01	3.648211e-01	1.536703e-02	3.494541e-01	-1.670435e-01	7.979030e-06	6.083234e-05	3.365633e-05	7.766051e-05	-4.400418e-05
6             	3.725149e-01	1.862683e-01	1.862466e-01	4.368275e-01	3.189184e-02	4.049356e-01	-1.865219e-01	1.084731e-05	4.066241e-05	4.333370e-05	6.232926e-05	-1.899556e-05
7             	3.665007e-01	1.832532e-01	1.832474e-01	4.704980e-01	4.034347e-02	4.301546e-01	-1.949056e-01	2.914705e-06	1.098328e-05	1.484260e-05	1.840458e-05	-3.561979e-06
8             	3.593865e-01	1.796861e-01	1.797004e-01	4.678945e-01	4.135901e-02	4.265355e-01	-1.925882e-01	-7.156848e-06	2.684869e-06	1.969837e-05	1.253405e-05	7.164315e-06
9             	3.527270e-01	1.763491e-01	1.763779e-01	4.309442e-01	3.504221e-02	3.959020e-01	-1.804299e-01	-1.442387e-05	-1.368936e-05	-3.566153e-05	-3.152012e-05	-4.141409e-06
10            	3.368457e-01	1.684087e-01	1.684370e-01	3.690048e-01	2.403215e-02	3.449727e-01	-1.604703e-01	-1.413340e-05	-2.483950e-05	-1.721424e-04	-1.109107e-04	-6.123169e-05
11            	3.151863e-01	1.575809e-01	1.576053e-01	2.971322e-01	1.097386e-02	2.861583e-01	-1.375922e-01	-1.220538e-05	-2.417869e-05	-2.502741e-04	-1.493157e-04	-1.009584e-04
12            	3.016881e-01	1.508315e-01	1.508566e-01	2.303686e-01	-1.954241e-03	2.323228e-01	-1.171385e-01	-1.251405e-05	4.709698e-06	-1.972736e-04	-9.392711e-05	-1.033465e-04
13            	2.905903e-01	1.452812e-01	1.453091e-01	1.841711e-01	-1.110119e-02	1.952723e-01	-1.031868e-01	-1.395814e-05	2.867740e-05	-1.218681e-04	-3.225664e-05	-8.961144e-05
14            	2.824241e-01	1.411987e-01	1.412254e-01	1.635325e-01	-1.597621e-02	1.795087e-01	-9.774247e-02	-1.335176e-05	4.395175e-05	1.275950e-07	4.401554e-05	-4.388795e-05
15            	2.744906e-01	1.372313e-01	1.372593e-01	1.760420e-01	-1.401513e-02	1.900571e-01	-1.020361e-01	-1.401182e-05	3.225018e-05	7.331256e-05	6.890646e-05	4.406103e-06
16            	2.683752e-01	1.341690e-01	1.342061e-01	2.102746e-01	-7.251510e-03	2.175261e-01	-1.123888e-01	-1.856905e-05	-9.537652e-06	2.267365e-05	1.799172e-06	2.087448e-05
17            	2.648682e-01	1.324115e-01	1.324567e-01	2.593351e-01	3.175229e-03	2.561599e-01	-1.264923e-01	-2.263523e-05	-6.315906e-05	-6.435101e-05	-9.533456e-05	3.098355e-05
18            	2.629886e-01	1.314778e-01	1.315108e-01	3.077294e-01	1.386438e-02	2.938650e-01	-1.400003e-01	-1.647385e-05	-1.094983e-04	-1.622503e-04	-1.906234e-04	2.837310e-05
19            	2.625849e-01	1.312865e-01	1.312984e-01	3.503243e-01	2.394972e-02	3.263746e-01	-1.512124e-01	-5.973714e-06	-1.477940e-04	-2.501605e-04	-2.728742e-04	2.271375e-05
20            	2.615970e-01	1.308017e-01	1.307953e-01	3.741083e-01	2.994171e-02	3.441666e-01	-1.571124e-01	3.230272e-06	-1.655585e-04	-3.584618e-04	-3.447894e-04	-1.367240e-05
21            	2.599325e-01	1.299651e-01	1.299673e-01	3.815562e-01	3.277300e-02	3.487832e-01	-1.580051e-01	-1.078680e-06	-1.631045e-04	-3.654028e-04	-3.458059e-04	-1.959689e-05
22            	2.586923e-01	1.293294e-01	1.293629e-01	3.698277e-01	3.178147e-02	3.380462e-01	-1.531324e-01	-1.671992e-05	-1.505508e-04	-2.574808e-04	-2.792912e-04	2.181045e-05
23            	2.588467e-01	1.293919e-01	1.294548e-01	3.374362e-01	2.639985e-02	3.110363e-01	-1.423182e-01	-3.143847e-05	-1.370934e-04	-1.093894e-04	-1.917881e-04	8.239870e-05
24            	2.584060e-01	1.291682e-01	1.292379e-01	2.881144e-01	1.714509e-02	2.709694e-01	-1.269121e-01	-3.486367e-05	-1.328623e-04	-3.916229e-06	-1.348204e-04	1.309042e-04
25            	2.573561e-01	1.286494e-01	1.287067e-01	2.321082e-01	6.153301e-03	2.259549e-01	-1.099008e-01	-2.867368e-05	-1.053047e-04	1.509644e-04	-2.982249e-05	1.807869e-04
26            	2.568861e-01	1.284267e-01	1.284593e-01	1.821737e-01	-4.111326e-03	1.862850e-01	-9.519818e-02	-1.629978e-05	-6.960623e-05	2.931910e-04	7.698927e-05	2.162017e-04
27            	2.566321e-01	1.283124e-01	1.283197e-01	1.505053e-01	-1.111402e-02	1.616194e-01	-8.636669e-02	-3.634554e-06	-3.397603e-05	3.842352e-04	1.581416e-04	2.260936e-04
28            	2.582155e-01	1.291185e-01	1.290970e-01	1.444019e-01	-1.342735e-02	1.578293e-01	-8.562831e-02	1.070432e-05	-3.983537e-06	4.101873e-04	2.011101e-04	2.090772e-04
29            	2.608442e-01	1.304504e-01	1.303938e-01	1.636411e-01	-1.083642e-02	1.744776e-01	-9.265700e-02	2.827583e-05	-1.108123e-06	3.710179e-04	1.844008e-04	1.866171e-04
30            	2.629244e-01	1.315059e-01	1.314186e-01	2.035903e-01	-3.511113e-03	2.071014e-01	-1.053063e-01	4.364040e-05	8.367406e-06	3.788486e-04	1.977917e-04	1.810569e-04
31            	2.637404e-01	1.319254e-01	1.318150e-01	2.528242e-01	6.292675e-03	2.465315e-01	-1.201194e-01	5.517420e-05	3.501975e-05	4.494034e-04	2.597214e-04	1.896819e-04
32            	2.639581e-01	1.320400e-01	1.319181e-01	3.042981e-01	1.704261e-02	2.872555e-01	-1.351064e-01	6.098199e-05	6.836097e-05	5.765474e-04	3.566347e-04	2.199127e-04
33            	2.648680e-01	1.324872e-01	1.323808e-01	3.526046e-01	2.745344e-02	3.251511e-01	-1.488488e-01	5.318650e-05	9.841830e-05	7.555334e-04	4.761850e-04	2.793484e-04
34            	2.674772e-01	1.337638e-01	1.337134e-01	3.926246e-01	3.633292e-02	3.562917e-01	-1.599794e-01	2.516584e-05	1.293494e-04	9.389074e-04	5.988031e-04	3.401043e-04
35            	2.718147e-01	1.358885e-01	1.359263e-01	4.179225e-01	4.226576e-02	3.756567e-01	-1.666955e-01	-1.890750e-05	1.680469e-04	1.057897e-03	6.969955e-04	3.609016e-04
36            	2.773436e-01	1.386035e-01	1.387401e-01	4.232209e-01	4.412142e-02	3.790995e-01	-1.674891e-01	-6.825954e-05	2.188856e-04	1.117609e-03	7.776900e-04	3.399188e-04
37            	2.829004e-01	1.413379e-01	1.415625e-01	4.061363e-01	4.148348e-02	3.646528e-01	-1.615847e-01	-1.122869e-04	2.459404e-04	1.083821e-03	7.878507e-04	2.959699e-04
38            	2.880313e-01	1.438793e-01	1.441519e-01	3.640030e-01	3.340528e-02	3.305977e-01	-1.485962e-01	-1.362969e-04	2.225418e-04	9.788541e-04	7.119688e-04	2.668853e-04
39            	2.913272e-01	1.455292e-01	1.457980e-01	3.080886e-01	2.200935e-02	2.860793e-01	-1.320349e-01	-1.344403e-04	1.776301e-04	8.959598e-04	6.256100e-04	2.703497e-04
40            	2.914816e-01	1.456323e-01	1.458493e-01	2.517357e-01	1.012144e-02	2.416143e-01	-1.157464e-01	-1.084807e-04	1.038009e-04	7.526605e-04	4.801311e-04	2.725294e-04
41            	2.886521e-01	1.442619e-01	1.443902e-01	2.056141e-01	5.584519e-05	2.055583e-01	-1.027512e-01	-6.416849e-05	-4.055256e-06	4.566714e-04	2.242805e-04	2.323910e-04
42            	2.831942e-01	1.415869e-01	1.416073e-01	1.750786e-01	-6.926181e-03	1.820048e-01	-9.446548e-02	-1.017073e-05	-1.207313e-04	7.235133e-05	-8.455564e-05	1.569070e-04
43            	2.767115e-01	1.383994e-01	1.383121e-01	1.612079e-01	-1.041339e-02	1.716213e-01	-9.101735e-02	4.364582e-05	-2.091779e-04	-2.695086e-04	-3.439322e-04	7.442357e-05
44            	2.711180e-01	1.356461e-01	1.354720e-01	1.625903e-01	-1.070005e-02	1.732904e-01	-9.199521e-02	8.704936e-05	-2.417016e-04	-4.951339e-04	-4.892686e-04	-5.865312e-06
45            	2.673637e-01	1.337955e-01	1.335683e-01	1.786862e-01	-7.901001e-03	1.865872e-01	-9.724409e-02	1.135937e-04	-2.192086e-04	-5.744653e-04	-5.064413e-04	-6.802409e-05
46            	2.655488e-01	1.328964e-01	1.326524e-01	2.079580e-01	-2.180501e-03	2.101385e-01	-1.061595e-01	1.219705e-04	-1.461158e-04	-4.949975e-04	-3.936145e-04	-1.013830e-04
47            	2.650845e-01	1.326581e-01	1.324264e-01	2.452599e-01	5.417578e-03	2.398423e-01	-1.172124e-01	1.158049e-04	-5.247792e-05	-3.120359e-04	-2.084959e-04	-1.035401e-04
48            	2.653104e-01	1.327529e-01	1.325575e-01	2.844079e-01	1.343956e-02	2.709684e-01	-1.287644e-01	9.767706e-05	3.345271e-05	-1.087808e-04	-2.093771e-05	-8.784312e-05
49            	2.652294e-01	1.326840e-01	1.325454e-01	3.207273e-01	2.092256e-02	2.998048e-01	-1.394411e-01	6.928060e-05	9.591893e-05	8.427922e-05	1.380585e-04	-5.377932e-05
50            	2.646607e-01	1.323640e-01	1.322967e-01	3.490617e-01	2.686857e-02	3.221932e-01	-1.476623e-01	3.365294e-05	1.380983e-04	2.493939e-04	2.627952e-04	-1.340136e-05
51            	2.637937e-01	1.318915e-01	1.319022e-01	3.646157e-01	3.030516e-02	3.343106e-01	-1.520027e-01	-5.367909e-06	1.682292e-04	3.728420e-04	3.546502e-04	1.819178e-05
