# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.739600e-01	1.395830e-02	9	2.235620e-01	2.028580e-02	8	3.641550e-01	3.412790e-02	6	false	GAMG	1.000000e+00	8.186650e-03	8	true
2             	smoothSolver	1.141620e-01	9.109510e-03	9	1.242380e-01	1.151210e-02	8	1.165320e-01	9.658570e-03	9	false	GAMG	1.410590e-01	1.266430e-03	6	true
3             	smoothSolver	8.326840e-02	7.176340e-03	9	9.461740e-02	7.891240e-03	9	6.743350e-02	5.883950e-03	9	false	GAMG	9.218140e-02	9.122760e-04	5	true
4             	smoothSolver	6.922350e-02	6.331400e-03	9	7.475040e-02	6.868910e-03	9	5.216390e-02	4.782380e-03	9	false	GAMG	7.288660e-02	6.232730e-04	5	true
5             	smoothSolver	6.479930e-02	6.023600e-03	9	6.646150e-02	6.526850e-03	9	4.763200e-02	4.598830e-03	9	false	GAMG	6.711930e-02	6.049630e-04	5	true
6             	smoothSolver	5.952290e-02	5.703800e-03	9	6.235970e-02	5.028320e-03	10	4.569710e-02	4.561840e-03	9	false	GAMG	6.657610e-02	5.966030e-04	5	true
7             	smoothSolver	5.308100e-02	5.254350e-03	9	5.850540e-02	4.757950e-03	10	4.413480e-02	3.631950e-03	10	false	GAMG	6.928500e-02	5.705610e-04	5	true
8             	smoothSolver	4.737130e-02	3.748840e-03	10	5.407390e-02	4.422680e-03	10	4.287110e-02	3.609440e-03	10	false	GAMG	7.524610e-02	5.829090e-04	5	true
9             	smoothSolver	4.347630e-02	3.457120e-03	10	4.956110e-02	4.047010e-03	10	4.185860e-02	3.541390e-03	10	false	GAMG	7.939690e-02	6.735440e-04	5	true
10            	smoothSolver	4.060990e-02	3.229890e-03	10	4.536120e-02	3.702890e-03	10	4.001810e-02	3.419170e-03	10	false	GAMG	8.137850e-02	7.385270e-04	5	true
11            	smoothSolver	3.797430e-02	3.019380e-03	10	4.179290e-02	3.469610e-03	10	3.811610e-02	3.316550e-03	10	false	GAMG	8.097890e-02	6.961160e-04	5	true
12            	smoothSolver	3.569970e-02	2.878840e-03	10	3.927520e-02	3.372060e-03	10	3.629200e-02	3.187320e-03	10	false	GAMG	7.282290e-02	5.934860e-04	5	true
13            	smoothSolver	3.361450e-02	2.789640e-03	10	3.759090e-02	3.340480e-03	10	3.484900e-02	3.071450e-03	10	false	GAMG	6.612400e-02	6.197920e-04	5	true
14            	smoothSolver	3.167810e-02	2.669260e-03	10	3.665660e-02	3.297820e-03	10	3.373970e-02	2.993880e-03	10	false	GAMG	6.009190e-02	3.778840e-04	6	true
15            	smoothSolver	2.969470e-02	2.509250e-03	10	3.598030e-02	3.265510e-03	10	3.253690e-02	2.921400e-03	10	false	GAMG	5.697400e-02	3.460770e-04	6	true
16            	smoothSolver	2.804340e-02	2.377840e-03	10	3.507710e-02	3.202740e-03	10	3.106560e-02	2.828240e-03	10	false	GAMG	5.502410e-02	5.446450e-04	5	true
17            	smoothSolver	2.702670e-02	2.319940e-03	10	3.400060e-02	3.117700e-03	10	2.978540e-02	2.732790e-03	10	false	GAMG	5.347840e-02	4.855550e-04	5	true
18            	smoothSolver	2.639920e-02	2.290510e-03	10	3.335750e-02	3.098360e-03	10	2.931190e-02	2.713000e-03	10	false	GAMG	5.086500e-02	4.593000e-04	5	true
19            	smoothSolver	2.582690e-02	2.261720e-03	10	3.286560e-02	3.103320e-03	10	2.907570e-02	2.733080e-03	10	false	GAMG	4.872870e-02	2.663550e-04	6	true
20            	smoothSolver	2.540380e-02	2.237870e-03	10	3.281770e-02	3.141480e-03	10	2.890830e-02	2.784280e-03	10	false	GAMG	4.654870e-02	2.658160e-04	6	true
21            	smoothSolver	2.492280e-02	2.220620e-03	10	3.271690e-02	3.151320e-03	10	2.878240e-02	2.830610e-03	10	false	GAMG	4.494090e-02	2.639670e-04	6	true
22            	smoothSolver	2.446000e-02	2.221840e-03	10	3.262210e-02	3.162760e-03	10	2.871660e-02	2.854770e-03	10	false	GAMG	4.396240e-02	2.629940e-04	6	true
23            	smoothSolver	2.410000e-02	2.222430e-03	10	3.229420e-02	3.175740e-03	10	2.858130e-02	2.291630e-03	11	false	GAMG	4.385810e-02	2.618830e-04	6	true
24            	smoothSolver	2.401480e-02	2.214310e-03	10	3.173650e-02	3.158400e-03	10	2.825260e-02	2.278480e-03	11	false	GAMG	4.403460e-02	2.432010e-04	6	true
25            	smoothSolver	2.398830e-02	2.206640e-03	10	3.113270e-02	2.493910e-03	11	2.793080e-02	2.254970e-03	11	false	GAMG	4.269610e-02	2.340170e-04	6	true
26            	smoothSolver	2.399100e-02	2.200330e-03	10	3.073460e-02	2.480600e-03	11	2.781790e-02	2.249840e-03	11	false	GAMG	4.066690e-02	2.269550e-04	6	true
27            	smoothSolver	2.401480e-02	2.188870e-03	10	3.051000e-02	2.472320e-03	11	2.784790e-02	2.270980e-03	11	false	GAMG	3.898850e-02	2.179600e-04	6	true
28            	smoothSolver	2.398490e-02	2.171510e-03	10	3.028770e-02	2.443980e-03	11	2.784710e-02	2.280160e-03	11	false	GAMG	3.779300e-02	2.267030e-04	6	true
29            	smoothSolver	2.400530e-02	2.158380e-03	10	2.993520e-02	2.989720e-03	10	2.777070e-02	2.267350e-03	11	false	GAMG	3.782960e-02	2.462520e-04	6	true
30            	smoothSolver	2.408560e-02	2.150270e-03	10	2.952460e-02	2.927890e-03	10	2.762940e-02	2.246450e-03	11	false	GAMG	3.826820e-02	2.429560e-04	6	true
31            	smoothSolver	2.412720e-02	2.145130e-03	10	2.902310e-02	2.872550e-03	10	2.765740e-02	2.237790e-03	11	false	GAMG	3.810510e-02	2.452560e-04	6	true
32            	smoothSolver	2.417070e-02	2.151590e-03	10	2.889750e-02	2.880980e-03	10	2.803580e-02	2.265890e-03	11	false	GAMG	3.750960e-02	2.603250e-04	6	true
33            	smoothSolver	2.425330e-02	2.175490e-03	10	2.911610e-02	2.338860e-03	11	2.849990e-02	2.310870e-03	11	false	GAMG	3.737290e-02	2.724870e-04	6	true
34            	smoothSolver	2.427940e-02	2.205740e-03	10	2.929000e-02	2.377430e-03	11	2.891270e-02	2.358540e-03	11	false	GAMG	3.662840e-02	2.759900e-04	6	true
35            	smoothSolver	2.423540e-02	2.224520e-03	10	2.948990e-02	2.407600e-03	11	2.911530e-02	2.406520e-03	11	false	GAMG	3.621240e-02	2.849490e-04	6	true
36            	smoothSolver	2.422260e-02	2.248130e-03	10	2.965880e-02	2.420510e-03	11	2.913510e-02	2.433610e-03	11	false	GAMG	3.631510e-02	3.189600e-04	6	true
37            	smoothSolver	2.427440e-02	2.271300e-03	10	2.954650e-02	2.400600e-03	11	2.912720e-02	2.424100e-03	11	false	GAMG	3.753350e-02	3.457930e-04	6	true
38            	smoothSolver	2.433520e-02	2.260320e-03	10	2.910850e-02	2.348360e-03	11	2.895240e-02	2.379130e-03	11	false	GAMG	3.884780e-02	3.105430e-04	6	true
39            	smoothSolver	2.437120e-02	2.252400e-03	10	2.854700e-02	2.284660e-03	11	2.852000e-02	2.314510e-03	11	false	GAMG	3.863510e-02	2.683600e-04	6	true
40            	smoothSolver	2.452490e-02	2.266730e-03	10	2.849650e-02	2.283040e-03	11	2.813640e-02	2.268840e-03	11	false	GAMG	3.818770e-02	2.354810e-04	6	true
41            	smoothSolver	2.460950e-02	2.276350e-03	10	2.864470e-02	2.304760e-03	11	2.794960e-02	2.248570e-03	11	false	GAMG	3.742520e-02	2.190710e-04	6	true
42            	smoothSolver	2.455760e-02	2.267380e-03	10	2.856950e-02	2.298410e-03	11	2.792210e-02	2.236540e-03	11	false	GAMG	3.682620e-02	2.306750e-04	6	true
43            	smoothSolver	2.439620e-02	2.243900e-03	10	2.827710e-02	2.258710e-03	11	2.784360e-02	2.218870e-03	11	false	GAMG	3.650640e-02	2.569810e-04	6	true
44            	smoothSolver	2.407310e-02	2.206120e-03	10	2.788270e-02	2.762340e-03	10	2.773330e-02	2.751760e-03	10	false	GAMG	3.585680e-02	2.599710e-04	6	true
45            	smoothSolver	2.366560e-02	2.163430e-03	10	2.746530e-02	2.686880e-03	10	2.758110e-02	2.710530e-03	10	false	GAMG	3.557130e-02	2.508830e-04	6	true
46            	smoothSolver	2.337260e-02	2.131050e-03	10	2.689750e-02	2.607010e-03	10	2.734330e-02	2.665730e-03	10	false	GAMG	3.515680e-02	2.231200e-04	6	true
47            	smoothSolver	2.320680e-02	2.113290e-03	10	2.644280e-02	2.541770e-03	10	2.712910e-02	2.636400e-03	10	false	GAMG	3.482310e-02	1.932740e-04	6	true
48            	smoothSolver	2.303370e-02	2.102000e-03	10	2.613270e-02	2.501990e-03	10	2.695600e-02	2.629460e-03	10	false	GAMG	3.463200e-02	1.826520e-04	6	true
49            	smoothSolver	2.281800e-02	2.093330e-03	10	2.578290e-02	2.467990e-03	10	2.680910e-02	2.635700e-03	10	false	GAMG	3.452920e-02	1.877160e-04	6	true
50            	smoothSolver	2.250880e-02	2.083050e-03	10	2.532420e-02	2.431830e-03	10	2.658380e-02	2.633030e-03	10	false	GAMG	3.409870e-02	1.979250e-04	6	true
51            	smoothSolver	2.211620e-02	2.061380e-03	10	2.473550e-02	2.375720e-03	10	2.627070e-02	2.611640e-03	10	false	GAMG	3.339720e-02	2.056560e-04	6	true
52            	smoothSolver	2.173470e-02	2.032870e-03	10	2.398810e-02	2.293320e-03	10	2.587540e-02	2.571790e-03	10	false	GAMG	3.253260e-02	2.161520e-04	6	true
53            	smoothSolver	2.140810e-02	2.006200e-03	10	2.318760e-02	2.193930e-03	10	2.547600e-02	2.529250e-03	10	false	GAMG	3.268400e-02	2.398030e-04	6	true
54            	smoothSolver	2.119320e-02	1.985710e-03	10	2.244050e-02	2.104010e-03	10	2.514680e-02	2.490680e-03	10	false	GAMG	3.313450e-02	2.339100e-04	6	true
55            	smoothSolver	2.105210e-02	1.968940e-03	10	2.186090e-02	2.045530e-03	10	2.479050e-02	2.451740e-03	10	false	GAMG	3.278380e-02	2.071530e-04	6	true
56            	smoothSolver	2.087890e-02	1.947130e-03	10	2.144190e-02	2.011450e-03	10	2.450260e-02	2.420070e-03	10	false	GAMG	3.190730e-02	1.914200e-04	6	true
