# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.256430e-02	1.108800e-03	9	2.890190e-01	2.299780e-02	9	1.847710e-01	1.664670e-02	8	false	GAMG	1.000000e+00	9.120410e-03	9	true
2             	smoothSolver	8.066950e-03	7.242250e-04	8	1.827260e-01	1.820590e-02	7	1.354900e-01	1.103010e-02	8	false	GAMG	4.331200e-02	3.648650e-04	7	true
3             	smoothSolver	5.156530e-03	4.270100e-04	8	1.401440e-01	1.322770e-02	7	1.308720e-01	1.305060e-02	7	false	GAMG	3.223360e-02	2.872200e-04	6	true
4             	smoothSolver	3.913840e-03	3.095440e-04	8	1.132090e-01	1.052990e-02	7	6.850780e-02	6.596680e-03	7	false	GAMG	2.419930e-02	1.888600e-04	6	true
5             	smoothSolver	3.256580e-03	2.675490e-04	8	9.601770e-02	9.308760e-03	7	4.909870e-02	4.829470e-03	7	false	GAMG	1.959570e-02	1.647180e-04	6	true
6             	smoothSolver	2.830100e-03	2.481020e-04	8	8.760950e-02	7.090200e-03	8	4.186780e-02	3.393640e-03	8	false	GAMG	1.728190e-02	1.411470e-04	8	true
7             	smoothSolver	2.530410e-03	2.330000e-04	8	8.084230e-02	7.043770e-03	8	3.818180e-02	3.286870e-03	8	false	GAMG	1.553470e-02	1.401240e-04	7	true
8             	smoothSolver	2.315160e-03	2.177430e-04	8	7.295470e-02	6.803890e-03	8	3.542790e-02	3.176690e-03	8	false	GAMG	1.437900e-02	1.126030e-04	6	true
9             	smoothSolver	2.153290e-03	2.062110e-04	8	6.638520e-02	6.458160e-03	8	3.365060e-02	3.082010e-03	8	false	GAMG	1.318500e-02	1.104060e-04	6	true
10            	smoothSolver	2.054250e-03	2.001040e-04	8	6.146310e-02	6.113150e-03	8	3.288650e-02	3.066820e-03	8	false	GAMG	1.246240e-02	1.073240e-04	6	true
11            	smoothSolver	1.968440e-03	1.543330e-04	9	5.773710e-02	4.576150e-03	9	3.245790e-02	3.107820e-03	8	false	GAMG	1.203660e-02	1.039220e-04	6	true
12            	smoothSolver	1.896860e-03	1.515670e-04	9	5.470470e-02	4.407130e-03	9	3.187900e-02	3.135070e-03	8	false	GAMG	1.171510e-02	8.688310e-05	6	true
13            	smoothSolver	1.834170e-03	1.488830e-04	9	5.212930e-02	4.264230e-03	9	3.120530e-02	2.455390e-03	9	false	GAMG	1.147260e-02	1.075950e-04	5	true
14            	smoothSolver	1.780140e-03	1.458020e-04	9	4.987130e-02	4.146180e-03	9	3.025270e-02	2.433850e-03	9	false	GAMG	1.133650e-02	1.049180e-04	5	true
15            	smoothSolver	1.738310e-03	1.437720e-04	9	4.771830e-02	4.034630e-03	9	2.917460e-02	2.399050e-03	9	false	GAMG	1.133890e-02	1.029920e-04	5	true
