# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 2.655000e+00
# Aref        : 1.989000e+00
# CofR        : (2.300000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.245522e+00	6.225792e-01	6.229431e-01	-1.059594e+00	-1.697823e-01	-8.898115e-01	3.600146e-01	-1.819710e-04	2.360477e-03	7.940426e-03	6.330690e-03	1.609736e-03
2             	1.122983e+00	5.609712e-01	5.620121e-01	-1.314611e+00	-4.049158e-01	-9.096950e-01	2.523896e-01	-5.204293e-04	3.452506e-03	3.274522e-03	5.089767e-03	-1.815245e-03
3             	8.928987e-01	4.454204e-01	4.474783e-01	-1.337504e+00	-5.080075e-01	-8.294960e-01	1.607443e-01	-1.028920e-03	4.206647e-03	-8.017961e-04	3.805749e-03	-4.607545e-03
4             	7.749042e-01	3.857971e-01	3.891070e-01	-1.338976e+00	-5.167611e-01	-8.222145e-01	1.527267e-01	-1.654957e-03	5.649277e-03	-1.805069e-03	4.746742e-03	-6.551811e-03
5             	7.207887e-01	3.583444e-01	3.624443e-01	-1.338379e+00	-4.816036e-01	-8.567754e-01	1.875859e-01	-2.049922e-03	7.015781e-03	-2.345552e-03	5.843005e-03	-8.188557e-03
6             	7.014488e-01	3.482668e-01	3.531820e-01	-1.314895e+00	-4.107028e-01	-9.041925e-01	2.467448e-01	-2.457634e-03	7.723804e-03	-4.402637e-03	5.522485e-03	-9.925122e-03
7             	6.937005e-01	3.443937e-01	3.493067e-01	-1.274361e+00	-3.287131e-01	-9.456481e-01	3.084675e-01	-2.456507e-03	7.974626e-03	-6.126561e-03	4.911346e-03	-1.103791e-02
8             	6.765561e-01	3.354110e-01	3.411451e-01	-1.212482e+00	-2.622752e-01	-9.502071e-01	3.439659e-01	-2.867019e-03	8.041237e-03	-6.502128e-03	4.790173e-03	-1.129230e-02
9             	6.656636e-01	3.297950e-01	3.358686e-01	-1.145558e+00	-1.980355e-01	-9.475227e-01	3.747436e-01	-3.036817e-03	8.549243e-03	-4.968098e-03	6.065194e-03	-1.103329e-02
10            	6.560588e-01	3.251108e-01	3.309481e-01	-1.077215e+00	-1.418251e-01	-9.353903e-01	3.967826e-01	-2.918641e-03	8.083238e-03	-2.841519e-03	6.662479e-03	-9.503998e-03
11            	6.484846e-01	3.217795e-01	3.267051e-01	-1.005954e+00	-9.011814e-02	-9.158355e-01	4.128587e-01	-2.462786e-03	7.307333e-03	-1.228905e-03	6.692880e-03	-7.921785e-03
12            	6.422930e-01	3.191268e-01	3.231662e-01	-9.367916e-01	-4.628634e-02	-8.905053e-01	4.221095e-01	-2.019720e-03	6.708780e-03	6.065725e-04	7.012067e-03	-6.405494e-03
13            	6.368594e-01	3.166829e-01	3.201765e-01	-8.712705e-01	-4.110955e-03	-8.671596e-01	4.315243e-01	-1.746831e-03	5.799063e-03	2.201238e-03	6.899682e-03	-4.698444e-03
14            	6.269841e-01	3.123022e-01	3.146819e-01	-8.223670e-01	2.673486e-02	-8.491018e-01	4.379184e-01	-1.189842e-03	4.880138e-03	3.036222e-03	6.398249e-03	-3.362027e-03
15            	6.236557e-01	3.107231e-01	3.129326e-01	-7.824036e-01	6.052854e-02	-8.429322e-01	4.517303e-01	-1.104787e-03	4.494328e-03	5.322215e-03	7.155435e-03	-1.833220e-03
16            	6.200885e-01	3.088817e-01	3.112068e-01	-7.610192e-01	7.907825e-02	-8.400975e-01	4.595879e-01	-1.162558e-03	3.982074e-03	6.522075e-03	7.243112e-03	-7.210362e-04
17            	6.189626e-01	3.082022e-01	3.107604e-01	-7.499822e-01	8.918380e-02	-8.391660e-01	4.641749e-01	-1.279101e-03	3.832084e-03	7.318097e-03	7.491133e-03	-1.730359e-04
