# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 2.655000e+00
# Aref        : 1.989000e+00
# CofR        : (2.300000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.730923e-01	1.857545e-01	1.873378e-01	-1.266551e-01	2.120811e-02	-1.478632e-01	8.453563e-02	-7.916576e-04	6.507991e-03	5.990322e-03	9.503152e-03	-3.512830e-03
2             	2.725292e-01	1.358926e-01	1.366365e-01	-1.530443e-01	-1.727679e-02	-1.357675e-01	5.924537e-02	-3.719414e-04	6.431876e-03	5.389029e-04	6.701328e-03	-6.162425e-03
3             	1.633509e-01	8.169870e-02	8.165221e-02	-1.542531e-01	-4.286129e-02	-1.113918e-01	3.426527e-02	2.324507e-05	5.344566e-03	-5.141081e-03	2.774025e-03	-7.915106e-03
4             	9.607164e-02	4.837618e-02	4.769546e-02	-1.459807e-01	-4.881415e-02	-9.716651e-02	2.417618e-02	3.403612e-04	5.414711e-03	-7.447669e-03	1.690876e-03	-9.138546e-03
5             	7.174674e-02	3.640505e-02	3.534169e-02	-1.342814e-01	-4.401745e-02	-9.026395e-02	2.312325e-02	5.316832e-04	6.182870e-03	-9.022115e-03	1.671813e-03	-1.069393e-02
6             	7.905900e-02	4.018932e-02	3.886968e-02	-1.188157e-01	-3.149679e-02	-8.731889e-02	2.791105e-02	6.598190e-04	7.262253e-03	-1.136950e-02	1.577505e-03	-1.294700e-02
7             	1.025275e-01	5.195379e-02	5.057369e-02	-1.046135e-01	-1.791731e-02	-8.669621e-02	3.438945e-02	6.900519e-04	7.882759e-03	-1.364490e-02	1.060310e-03	-1.470521e-02
8             	1.289106e-01	6.494571e-02	6.396494e-02	-9.129159e-02	-7.114611e-03	-8.417698e-02	3.853118e-02	4.903848e-04	8.215750e-03	-1.537036e-02	5.305703e-04	-1.590093e-02
9             	1.556854e-01	7.821085e-02	7.747450e-02	-7.995925e-02	1.574899e-03	-8.153415e-02	4.155453e-02	3.681792e-04	8.772941e-03	-1.578476e-02	8.805626e-04	-1.666532e-02
10            	1.798477e-01	9.016027e-02	8.968746e-02	-7.068648e-02	8.804170e-03	-7.949065e-02	4.414741e-02	2.364027e-04	8.856126e-03	-1.521829e-02	1.246979e-03	-1.646527e-02
11            	1.999937e-01	1.001517e-01	9.984201e-02	-6.269433e-02	1.502370e-02	-7.771803e-02	4.637087e-02	1.548592e-04	8.623534e-03	-1.438298e-02	1.432045e-03	-1.581502e-02
12            	2.146463e-01	1.073726e-01	1.072736e-01	-5.489653e-02	2.035525e-02	-7.525178e-02	4.780351e-02	4.949944e-05	8.154248e-03	-1.284925e-02	1.729623e-03	-1.457887e-02
13            	2.235080e-01	1.115867e-01	1.119213e-01	-4.633988e-02	2.497611e-02	-7.131599e-02	4.814605e-02	-1.673172e-04	7.399710e-03	-1.064305e-02	2.078183e-03	-1.272124e-02
14            	2.249705e-01	1.121331e-01	1.128375e-01	-3.813559e-02	2.804948e-02	-6.618507e-02	4.711728e-02	-3.522163e-04	6.722069e-03	-8.113848e-03	2.665145e-03	-1.077899e-02
15            	2.221996e-01	1.104282e-01	1.117714e-01	-3.137153e-02	3.044944e-02	-6.182097e-02	4.613520e-02	-6.716016e-04	6.537044e-03	-4.332196e-03	4.370946e-03	-8.703142e-03
16            	2.151815e-01	1.065272e-01	1.086543e-01	-2.672137e-02	3.109015e-02	-5.781152e-02	4.445084e-02	-1.063542e-03	6.208208e-03	-1.173349e-03	5.621533e-03	-6.794882e-03
17            	2.059456e-01	1.016060e-01	1.043395e-01	-2.428714e-02	3.037279e-02	-5.465994e-02	4.251637e-02	-1.366749e-03	6.114963e-03	1.712798e-03	6.971361e-03	-5.258564e-03
18            	1.955219e-01	9.620472e-02	9.931718e-02	-2.319042e-02	2.854733e-02	-5.173774e-02	4.014253e-02	-1.556231e-03	6.008214e-03	4.149418e-03	8.082923e-03	-3.933505e-03
19            	1.860012e-01	9.138546e-02	9.461577e-02	-2.354289e-02	2.596886e-02	-4.951175e-02	3.774030e-02	-1.615152e-03	5.956859e-03	6.199150e-03	9.056434e-03	-2.857284e-03
20            	1.782873e-01	8.763099e-02	9.065630e-02	-2.459925e-02	2.319900e-02	-4.779826e-02	3.549863e-02	-1.512653e-03	5.883453e-03	8.125947e-03	9.946427e-03	-1.820479e-03
21            	1.718883e-01	8.453657e-02	8.735174e-02	-2.525265e-02	2.061681e-02	-4.586946e-02	3.324314e-02	-1.407582e-03	5.861944e-03	9.488832e-03	1.060636e-02	-1.117528e-03
22            	1.674454e-01	8.241488e-02	8.503049e-02	-2.540605e-02	1.848670e-02	-4.389275e-02	3.118972e-02	-1.307803e-03	6.098643e-03	9.977670e-03	1.108748e-02	-1.109808e-03
23            	1.652361e-01	8.134029e-02	8.389579e-02	-2.493673e-02	1.693004e-02	-4.186678e-02	2.939841e-02	-1.277751e-03	6.525073e-03	9.381944e-03	1.121604e-02	-1.834101e-03
24            	1.648764e-01	8.127697e-02	8.359942e-02	-2.394323e-02	1.594896e-02	-3.989219e-02	2.792058e-02	-1.161229e-03	7.044579e-03	7.872633e-03	1.098089e-02	-3.108262e-03
25            	1.655413e-01	8.174041e-02	8.380087e-02	-2.255866e-02	1.555953e-02	-3.811819e-02	2.683886e-02	-1.030230e-03	7.423091e-03	5.919924e-03	1.038305e-02	-4.463129e-03
26            	1.662095e-01	8.211431e-02	8.409522e-02	-2.087836e-02	1.573440e-02	-3.661276e-02	2.617358e-02	-9.904561e-04	7.502411e-03	4.131419e-03	9.568121e-03	-5.436701e-03
27            	1.666719e-01	8.229129e-02	8.438058e-02	-1.849681e-02	1.644305e-02	-3.493986e-02	2.569145e-02	-1.044645e-03	7.471458e-03	2.787282e-03	8.865099e-03	-6.077817e-03
28            	1.668567e-01	8.220518e-02	8.465151e-02	-1.553627e-02	1.746920e-02	-3.300548e-02	2.523734e-02	-1.223167e-03	7.482694e-03	1.774948e-03	8.370168e-03	-6.595220e-03
29            	1.667536e-01	8.192292e-02	8.483064e-02	-1.258036e-02	1.844684e-02	-3.102721e-02	2.473702e-02	-1.453861e-03	7.581612e-03	1.224072e-03	8.193648e-03	-6.969576e-03
