# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 2.655000e+00
# Aref        : 1.950000e+00
# CofR        : (2.300000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.273383e+00	6.370387e-01	6.363444e-01	-9.172583e-01	-9.703662e-02	-8.202217e-01	3.615925e-01	3.471387e-04	4.189503e-04	7.381150e-03	4.109525e-03	3.271625e-03
2             	1.148121e+00	5.743690e-01	5.737517e-01	-1.137206e+00	-3.108864e-01	-8.263200e-01	2.577168e-01	3.086592e-04	3.323954e-03	5.560586e-03	6.104247e-03	-5.436605e-04
3             	8.821171e-01	4.403299e-01	4.417872e-01	-1.188080e+00	-4.404760e-01	-7.476036e-01	1.535638e-01	-7.286603e-04	4.715001e-03	3.539314e-03	6.484657e-03	-2.945344e-03
4             	7.446987e-01	3.706142e-01	3.740844e-01	-1.231403e+00	-4.788040e-01	-7.525992e-01	1.368976e-01	-1.735088e-03	6.546796e-03	1.810650e-03	7.452121e-03	-5.641471e-03
5             	6.810071e-01	3.382666e-01	3.427405e-01	-1.296918e+00	-4.734809e-01	-8.234375e-01	1.749783e-01	-2.236954e-03	8.116983e-03	7.260902e-04	8.480028e-03	-7.753938e-03
6             	6.627403e-01	3.288285e-01	3.339117e-01	-1.314969e+00	-4.182721e-01	-8.966970e-01	2.392125e-01	-2.541605e-03	9.172051e-03	-1.550442e-03	8.396830e-03	-9.947272e-03
7             	6.610918e-01	3.278806e-01	3.332112e-01	-1.305620e+00	-3.473125e-01	-9.583075e-01	3.054975e-01	-2.665294e-03	1.001496e-02	-1.994096e-03	9.017907e-03	-1.101200e-02
8             	6.632697e-01	3.287455e-01	3.345242e-01	-1.265692e+00	-2.658985e-01	-9.997937e-01	3.669476e-01	-2.889342e-03	1.091095e-02	-1.598522e-03	1.011169e-02	-1.171021e-02
9             	6.597922e-01	3.266475e-01	3.331448e-01	-1.193254e+00	-1.877625e-01	-1.005491e+00	4.088643e-01	-3.248658e-03	1.116709e-02	6.905718e-04	1.151237e-02	-1.082180e-02
10            	6.542557e-01	3.233725e-01	3.308832e-01	-1.102604e+00	-1.134632e-01	-9.891405e-01	4.378386e-01	-3.755394e-03	1.089074e-02	4.010953e-03	1.289622e-02	-8.885263e-03
11            	6.525998e-01	3.223140e-01	3.302858e-01	-9.924235e-01	-3.119343e-02	-9.612300e-01	4.650183e-01	-3.985880e-03	1.056981e-02	6.626497e-03	1.388306e-02	-7.256560e-03
12            	6.443709e-01	3.182192e-01	3.261517e-01	-8.762663e-01	3.813274e-02	-9.143990e-01	4.762659e-01	-3.966251e-03	1.024890e-02	8.733119e-03	1.461546e-02	-5.882336e-03
13            	6.360105e-01	3.142883e-01	3.217222e-01	-7.644865e-01	9.628192e-02	-8.607684e-01	4.785252e-01	-3.716963e-03	9.573586e-03	9.953177e-03	1.455017e-02	-4.596998e-03
14            	6.274213e-01	3.100794e-01	3.173420e-01	-6.675475e-01	1.355157e-01	-8.030632e-01	4.692894e-01	-3.631293e-03	8.705198e-03	1.029192e-02	1.385116e-02	-3.559238e-03
