# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	4.375960e-02	3.736040e-03	9	2.938290e-01	2.331130e-02	9	2.889010e-01	2.531600e-02	8	false	GAMG	1.000000e+00	8.184980e-03	8	true
2             	smoothSolver	2.870930e-02	2.466490e-03	8	1.826700e-01	1.809910e-02	7	1.785720e-01	1.415440e-02	8	false	GAMG	9.688250e-02	7.876580e-04	7	true
3             	smoothSolver	1.832340e-02	1.479440e-03	8	1.371340e-01	1.299150e-02	7	1.352980e-01	1.314060e-02	7	false	GAMG	6.783540e-02	4.233290e-04	6	true
4             	smoothSolver	1.400820e-02	1.385620e-03	7	1.107310e-01	1.047960e-02	7	9.746770e-02	9.175890e-03	7	false	GAMG	5.336870e-02	3.454700e-04	6	true
5             	smoothSolver	1.176760e-02	9.346250e-04	8	9.478410e-02	9.431850e-03	7	7.888510e-02	7.588220e-03	7	false	GAMG	4.537580e-02	3.662950e-04	6	true
6             	smoothSolver	1.028330e-02	8.738220e-04	8	8.710930e-02	7.384340e-03	8	7.020170e-02	5.680240e-03	8	false	GAMG	4.000130e-02	3.129900e-04	7	true
7             	smoothSolver	9.129020e-03	8.267940e-04	8	8.161320e-02	7.451430e-03	8	6.500490e-02	5.665160e-03	8	false	GAMG	3.610330e-02	3.586570e-04	5	true
8             	smoothSolver	8.357450e-03	7.781740e-04	8	7.601980e-02	7.321140e-03	8	6.076150e-02	5.524710e-03	8	false	GAMG	3.296550e-02	3.132390e-04	5	true
9             	smoothSolver	7.799520e-03	7.422500e-04	8	7.129020e-02	7.117830e-03	8	5.761280e-02	5.382230e-03	8	false	GAMG	3.074770e-02	1.949620e-04	6	true
10            	smoothSolver	7.503770e-03	7.265150e-04	8	6.707690e-02	5.335800e-03	9	5.520640e-02	5.283770e-03	8	false	GAMG	2.873610e-02	2.865240e-04	5	true
11            	smoothSolver	7.219730e-03	7.202660e-04	8	6.314730e-02	5.118800e-03	9	5.301080e-02	5.242950e-03	8	false	GAMG	2.781260e-02	2.316500e-04	5	true
12            	smoothSolver	6.974380e-03	5.559630e-04	9	6.001780e-02	4.979860e-03	9	5.089780e-02	4.044140e-03	9	false	GAMG	2.735330e-02	1.616150e-04	6	true
13            	smoothSolver	6.761150e-03	5.492650e-04	9	5.735390e-02	4.862770e-03	9	4.911650e-02	3.989390e-03	9	false	GAMG	2.643300e-02	2.494380e-04	5	true
14            	smoothSolver	6.550680e-03	5.399580e-04	9	5.483670e-02	4.742640e-03	9	4.743720e-02	3.927380e-03	9	false	GAMG	2.590620e-02	2.290950e-04	5	true
15            	smoothSolver	6.404840e-03	5.347220e-04	9	5.281220e-02	4.654650e-03	9	4.596380e-02	3.878450e-03	9	false	GAMG	2.586010e-02	2.241130e-04	5	true
16            	smoothSolver	6.293920e-03	5.343320e-04	9	5.118560e-02	4.567200e-03	9	4.456370e-02	3.834040e-03	9	false	GAMG	2.580590e-02	2.137910e-04	5	true
17            	smoothSolver	6.212260e-03	5.369050e-04	9	4.989260e-02	4.493180e-03	9	4.310700e-02	3.774240e-03	9	false	GAMG	2.571060e-02	2.148920e-04	5	true
18            	smoothSolver	6.155540e-03	5.394200e-04	9	4.897670e-02	4.457180e-03	9	4.158560e-02	3.715020e-03	9	false	GAMG	2.562980e-02	2.286840e-04	5	true
19            	smoothSolver	6.125120e-03	5.446830e-04	9	4.810050e-02	4.438720e-03	9	4.017440e-02	3.661100e-03	9	false	GAMG	2.552030e-02	2.378420e-04	5	true
20            	smoothSolver	6.100100e-03	5.497200e-04	9	4.731150e-02	4.425030e-03	9	3.896140e-02	3.607160e-03	9	false	GAMG	2.559080e-02	2.475540e-04	5	true
21            	smoothSolver	6.098520e-03	5.531180e-04	9	4.685140e-02	4.427340e-03	9	3.805200e-02	3.571240e-03	9	false	GAMG	2.588440e-02	1.405210e-04	6	true
22            	smoothSolver	6.106580e-03	5.562050e-04	9	4.699150e-02	4.468170e-03	9	3.772050e-02	3.582530e-03	9	false	GAMG	2.632930e-02	1.476680e-04	6	true
23            	smoothSolver	6.128720e-03	5.606280e-04	9	4.744380e-02	4.542830e-03	9	3.755270e-02	3.598610e-03	9	false	GAMG	2.687340e-02	1.618270e-04	6	true
24            	smoothSolver	6.144160e-03	5.656940e-04	9	4.826670e-02	4.665350e-03	9	3.755360e-02	3.624550e-03	9	false	GAMG	2.745930e-02	1.665340e-04	6	true
25            	smoothSolver	6.173050e-03	5.708110e-04	9	4.928540e-02	4.797810e-03	9	3.766280e-02	3.652110e-03	9	false	GAMG	2.810360e-02	1.668250e-04	6	true
26            	smoothSolver	6.221420e-03	5.748150e-04	9	5.025850e-02	4.914710e-03	9	3.775800e-02	3.662150e-03	9	false	GAMG	2.866630e-02	1.663760e-04	6	true
27            	smoothSolver	6.267410e-03	5.770530e-04	9	5.092390e-02	4.983640e-03	9	3.767250e-02	3.635530e-03	9	false	GAMG	2.915660e-02	1.635190e-04	6	true
28            	smoothSolver	6.301400e-03	5.781960e-04	9	5.126760e-02	5.010450e-03	9	3.739500e-02	3.581130e-03	9	false	GAMG	2.950940e-02	1.581710e-04	6	true
29            	smoothSolver	6.302770e-03	5.767280e-04	9	5.120220e-02	4.997720e-03	9	3.714450e-02	3.539890e-03	9	false	GAMG	2.958010e-02	2.915460e-04	5	true
30            	smoothSolver	6.300750e-03	5.758900e-04	9	5.089460e-02	4.933260e-03	9	3.701220e-02	3.531010e-03	9	false	GAMG	2.953300e-02	1.629910e-04	6	true
31            	smoothSolver	6.335050e-03	5.736730e-04	9	5.040820e-02	4.831740e-03	9	3.709410e-02	3.535230e-03	9	false	GAMG	2.974210e-02	2.937990e-04	5	true
32            	smoothSolver	6.356360e-03	5.705640e-04	9	4.959020e-02	4.704940e-03	9	3.698780e-02	3.511340e-03	9	false	GAMG	3.065660e-02	1.747860e-04	6	true
33            	smoothSolver	6.385060e-03	5.671210e-04	9	4.891640e-02	4.580940e-03	9	3.705480e-02	3.478690e-03	9	false	GAMG	3.139070e-02	2.822820e-04	5	true
34            	smoothSolver	6.414610e-03	5.620870e-04	9	4.829400e-02	4.460000e-03	9	3.708910e-02	3.425330e-03	9	false	GAMG	3.179390e-02	2.902780e-04	5	true
35            	smoothSolver	6.457510e-03	5.548010e-04	9	4.816100e-02	4.371360e-03	9	3.724360e-02	3.368310e-03	9	false	GAMG	3.241530e-02	2.819770e-04	5	true
36            	smoothSolver	6.427720e-03	5.444470e-04	9	4.792660e-02	4.292310e-03	9	3.708290e-02	3.298130e-03	9	false	GAMG	3.328120e-02	2.765320e-04	5	true
37            	smoothSolver	6.389350e-03	5.317440e-04	9	4.765230e-02	4.210190e-03	9	3.667290e-02	3.221160e-03	9	false	GAMG	3.378610e-02	2.702270e-04	5	true
38            	smoothSolver	6.291360e-03	5.189870e-04	9	4.724460e-02	4.135460e-03	9	3.609000e-02	3.155440e-03	9	false	GAMG	3.357590e-02	2.603920e-04	5	true
