# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	2.092790e-02	1.813390e-03	9	2.402660e-01	2.349150e-02	8	1.619580e-01	1.482290e-02	7	false	GAMG	1.000000e+00	9.884640e-03	13	true
2             	smoothSolver	1.359510e-02	1.251080e-03	8	1.449930e-01	1.219910e-02	8	8.596900e-02	7.358210e-03	8	false	GAMG	5.323620e-02	5.025190e-04	9	true
3             	smoothSolver	9.226800e-03	8.502670e-04	8	1.091170e-01	9.250430e-03	8	6.945150e-02	6.271720e-03	8	false	GAMG	3.584950e-02	3.343570e-04	7	true
4             	smoothSolver	7.277510e-03	6.804320e-04	8	8.881140e-02	7.676750e-03	8	6.217930e-02	5.860940e-03	8	false	GAMG	2.933960e-02	2.668170e-04	8	true
5             	smoothSolver	6.094120e-03	5.887850e-04	8	7.695560e-02	6.902540e-03	8	5.844130e-02	5.641550e-03	8	false	GAMG	2.575510e-02	2.246990e-04	9	true
6             	smoothSolver	5.130700e-03	4.081410e-04	9	6.879500e-02	6.465090e-03	8	5.567730e-02	5.506930e-03	8	false	GAMG	2.288280e-02	1.908500e-04	8	true
7             	smoothSolver	4.548150e-03	3.727500e-04	9	6.215060e-02	6.119590e-03	8	5.355900e-02	4.284860e-03	9	false	GAMG	2.056420e-02	1.687510e-04	7	true
8             	smoothSolver	4.045730e-03	3.446200e-04	9	5.633300e-02	4.526950e-03	9	5.138060e-02	4.267840e-03	9	false	GAMG	1.936970e-02	1.858390e-04	6	true
9             	smoothSolver	3.704270e-03	3.225090e-04	9	5.155830e-02	4.273790e-03	9	5.011070e-02	4.267220e-03	9	false	GAMG	1.790640e-02	1.709780e-04	6	true
10            	smoothSolver	3.430100e-03	3.034420e-04	9	4.812610e-02	4.075790e-03	9	4.688220e-02	4.056580e-03	9	false	GAMG	1.701540e-02	1.351040e-04	6	true
11            	smoothSolver	3.216170e-03	2.873000e-04	9	4.541080e-02	3.919850e-03	9	4.101670e-02	3.580430e-03	9	false	GAMG	1.633390e-02	1.439890e-04	6	true
12            	smoothSolver	3.036010e-03	2.751450e-04	9	4.315860e-02	3.790290e-03	9	3.575950e-02	3.162270e-03	9	false	GAMG	1.550950e-02	1.322380e-04	6	true
13            	smoothSolver	2.901160e-03	2.663860e-04	9	4.131250e-02	3.685450e-03	9	3.138990e-02	2.823580e-03	9	false	GAMG	1.494240e-02	1.216080e-04	6	true
14            	smoothSolver	2.781040e-03	2.599990e-04	9	3.968930e-02	3.590320e-03	9	2.801810e-02	2.537340e-03	9	false	GAMG	1.456060e-02	1.323110e-04	6	true
15            	smoothSolver	2.683190e-03	2.547110e-04	9	3.828890e-02	3.505300e-03	9	2.543470e-02	2.331650e-03	9	false	GAMG	1.429680e-02	8.604010e-05	6	true
16            	smoothSolver	2.615090e-03	2.515000e-04	9	3.723900e-02	3.439600e-03	9	2.354830e-02	2.185100e-03	9	false	GAMG	1.401050e-02	1.028600e-04	6	true
17            	smoothSolver	2.575000e-03	2.499980e-04	9	3.657830e-02	3.398250e-03	9	2.202700e-02	2.061630e-03	9	false	GAMG	1.383110e-02	1.182760e-04	6	true
18            	smoothSolver	2.546860e-03	2.487430e-04	9	3.610420e-02	3.358450e-03	9	2.069170e-02	1.941510e-03	9	false	GAMG	1.371910e-02	1.185670e-04	6	true
