# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 3.098000e+00
# Aref        : 1.676200e+00
# CofR        : (2.505000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	7.290977e-02	3.590279e-02	3.700698e-02	1.283534e-01	9.519943e-02	3.315397e-02	3.102273e-02	-5.520959e-04	8.383085e-03	1.458200e-02	1.567409e-02	-1.092083e-03
2             	-5.207981e-02	-2.647897e-02	-2.560084e-02	1.514251e-01	9.900611e-02	5.241898e-02	2.329357e-02	-4.390645e-04	8.178487e-03	1.536739e-02	1.586218e-02	-4.947918e-04
3             	-1.076044e-01	-5.409401e-02	-5.351037e-02	1.404348e-01	8.192906e-02	5.850571e-02	1.171168e-02	-2.918247e-04	7.113611e-03	1.512182e-02	1.467452e-02	4.472974e-04
4             	-1.079554e-01	-5.423146e-02	-5.372396e-02	1.290070e-01	6.882631e-02	6.018065e-02	4.322832e-03	-2.537530e-04	7.533911e-03	1.587175e-02	1.546978e-02	4.019630e-04
5             	-8.469284e-02	-4.267651e-02	-4.201632e-02	1.249026e-01	6.176295e-02	6.313968e-02	-6.883640e-04	-3.300952e-04	8.333533e-03	1.700975e-02	1.683841e-02	1.713398e-04
6             	-5.388832e-02	-2.727785e-02	-2.661046e-02	1.270223e-01	5.929744e-02	6.772489e-02	-4.213722e-03	-3.336938e-04	8.542563e-03	1.738987e-02	1.723750e-02	1.523714e-04
7             	-2.634865e-02	-1.338933e-02	-1.295932e-02	1.327778e-01	6.009233e-02	7.268543e-02	-6.296550e-03	-2.150029e-04	8.411315e-03	1.671496e-02	1.676879e-02	-5.383495e-05
8             	-2.547158e-03	-1.611711e-03	-9.354474e-04	1.381968e-01	6.088100e-02	7.731577e-02	-8.217382e-03	-3.381318e-04	8.442322e-03	1.695869e-02	1.692167e-02	3.702277e-05
9             	1.747632e-02	8.195906e-03	9.280415e-03	1.420534e-01	6.089482e-02	8.115858e-02	-1.013188e-02	-5.422544e-04	8.410414e-03	1.766016e-02	1.724049e-02	4.196640e-04
10            	3.609306e-02	1.732226e-02	1.877080e-02	1.431373e-01	5.927971e-02	8.385758e-02	-1.228894e-02	-7.242701e-04	8.599178e-03	1.861876e-02	1.790856e-02	7.102032e-04
11            	5.311756e-02	2.564941e-02	2.746815e-02	1.423843e-01	5.688745e-02	8.549682e-02	-1.430468e-02	-9.093653e-04	8.960178e-03	1.985086e-02	1.888561e-02	9.652542e-04
12            	6.962798e-02	3.382432e-02	3.580366e-02	1.400438e-01	5.469342e-02	8.535041e-02	-1.532849e-02	-9.896711e-04	9.033398e-03	2.068098e-02	1.937389e-02	1.307094e-03
13            	8.276701e-02	4.029867e-02	4.246834e-02	1.358652e-01	5.217531e-02	8.368988e-02	-1.575728e-02	-1.084836e-03	8.738670e-03	2.157414e-02	1.952574e-02	2.048401e-03
14            	9.131148e-02	4.449246e-02	4.681902e-02	1.298020e-01	4.914958e-02	8.065240e-02	-1.575141e-02	-1.163284e-03	8.190207e-03	2.213599e-02	1.925820e-02	2.877786e-03
15            	9.578717e-02	4.666030e-02	4.912687e-02	1.222114e-01	4.559645e-02	7.661492e-02	-1.550923e-02	-1.233281e-03	7.463807e-03	2.231379e-02	1.862070e-02	3.693088e-03
16            	9.606264e-02	4.670132e-02	4.936131e-02	1.132989e-01	4.135703e-02	7.194188e-02	-1.529243e-02	-1.329994e-03	6.956511e-03	2.260897e-02	1.826099e-02	4.347973e-03
17            	9.438173e-02	4.576829e-02	4.861343e-02	1.033187e-01	3.675408e-02	6.656458e-02	-1.490525e-02	-1.422570e-03	6.765243e-03	2.320482e-02	1.836765e-02	4.837165e-03
