# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 3.098000e+00
# Aref        : 1.676200e+00
# CofR        : (2.505000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.040013e+00	5.200099e-01	5.200034e-01	-1.250424e+00	-1.713623e-01	-1.079062e+00	4.538497e-01	3.278676e-06	9.927829e-04	1.260261e-03	1.622913e-03	-3.626523e-04
2             	1.050909e+00	5.253102e-01	5.255985e-01	-1.588292e+00	-2.200332e-01	-1.368258e+00	5.741126e-01	-1.441561e-04	7.886472e-04	6.605081e-04	1.118901e-03	-4.583932e-04
3             	9.160102e-01	4.578901e-01	4.581201e-01	-1.642022e+00	-1.941443e-01	-1.447878e+00	6.268669e-01	-1.150062e-04	1.720828e-04	3.254236e-04	3.347946e-04	-9.371025e-06
4             	8.084096e-01	4.040390e-01	4.043706e-01	-1.636075e+00	-1.638624e-01	-1.472212e+00	6.541750e-01	-1.657741e-04	5.282313e-05	6.888897e-05	8.726761e-05	-1.837864e-05
5             	7.461744e-01	3.728015e-01	3.733729e-01	-1.607908e+00	-1.342349e-01	-1.473673e+00	6.697190e-01	-2.857085e-04	-1.902591e-04	-2.958633e-04	-3.381908e-04	4.232748e-05
6             	7.088816e-01	3.542830e-01	3.545986e-01	-1.542699e+00	-8.255276e-02	-1.460146e+00	6.887968e-01	-1.578166e-04	-2.802058e-04	-2.023581e-04	-3.813849e-04	1.790268e-04
7             	6.846490e-01	3.423772e-01	3.422718e-01	-1.429854e+00	2.692886e-03	-1.432547e+00	7.176198e-01	5.265881e-05	-4.113371e-04	-2.985803e-04	-5.606273e-04	2.620469e-04
8             	6.654131e-01	3.327234e-01	3.326897e-01	-1.312784e+00	8.212267e-02	-1.394906e+00	7.385146e-01	1.684788e-05	-5.054472e-04	7.832326e-05	-4.662856e-04	5.446089e-04
9             	6.483794e-01	3.242405e-01	3.241389e-01	-1.206206e+00	1.484020e-01	-1.354608e+00	7.515052e-01	5.077218e-05	-4.428568e-04	7.426975e-04	-7.150809e-05	8.142056e-04
10            	6.373541e-01	3.189248e-01	3.184293e-01	-1.129696e+00	1.980457e-01	-1.327742e+00	7.628936e-01	2.477231e-04	-5.484312e-04	8.811675e-04	-1.078474e-04	9.890149e-04
