# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 2.720000e+00
# Aref        : 2.269500e+00
# CofR        : (2.400000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	7.375896e-01	3.687802e-01	3.688094e-01	-2.099962e+00	-2.888625e+00	7.886630e-01	-1.838644e+00	-1.458840e-05	9.263287e-04	2.834108e-04	1.068034e-03	-7.846234e-04
2             	7.938266e-01	3.967966e-01	3.970300e-01	-2.555166e+00	-3.420062e+00	8.648953e-01	-2.142478e+00	-1.166826e-04	-6.576745e-04	2.100488e-03	3.925697e-04	1.707919e-03
3             	7.034666e-01	3.519798e-01	3.514869e-01	-2.466517e+00	-3.144574e+00	6.780573e-01	-1.911316e+00	2.464547e-04	-1.488889e-03	2.778525e-03	-9.962666e-05	2.878151e-03
4             	6.162196e-01	3.082883e-01	3.079313e-01	-2.267260e+00	-2.735620e+00	4.683595e-01	-1.601990e+00	1.785173e-04	-1.138894e-03	2.261623e-03	-8.082630e-06	2.269705e-03
5             	5.570195e-01	2.784751e-01	2.785444e-01	-2.084685e+00	-2.387556e+00	3.028701e-01	-1.345213e+00	-3.462123e-05	-1.031260e-03	2.030847e-03	-1.583642e-05	2.046683e-03
6             	5.216423e-01	2.606278e-01	2.610145e-01	-1.915264e+00	-2.093039e+00	1.777756e-01	-1.135407e+00	-1.933143e-04	-6.894740e-04	1.610046e-03	1.155490e-04	1.494497e-03
7             	4.973248e-01	2.488669e-01	2.484578e-01	-1.763246e+00	-1.855643e+00	9.239637e-02	-9.740194e-01	2.045365e-04	-4.763053e-04	1.375506e-03	2.114477e-04	1.164058e-03
8             	4.777924e-01	2.393412e-01	2.384512e-01	-1.638413e+00	-1.672097e+00	3.368376e-02	-8.528904e-01	4.450455e-04	-6.894495e-04	1.699028e-03	1.600644e-04	1.538963e-03
9             	4.633262e-01	2.323208e-01	2.310054e-01	-1.498508e+00	-1.477650e+00	-2.085762e-02	-7.283962e-01	6.577367e-04	-1.089582e-03	2.261406e-03	4.112123e-05	2.220285e-03
10            	4.516650e-01	2.268150e-01	2.248500e-01	-1.377532e+00	-1.319054e+00	-5.847763e-02	-6.302882e-01	9.824524e-04	-1.393900e-03	2.574054e-03	-1.068730e-04	2.680927e-03
