# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	3.808100e-02	3.800330e-03	8	3.498970e-01	3.220800e-02	8	2.056200e-01	1.979940e-02	7	false	GAMG	1.000000e+00	8.150450e-03	7	true
2             	smoothSolver	2.730950e-02	2.185260e-03	8	2.307800e-01	1.780760e-02	8	1.334720e-01	1.321250e-02	7	false	GAMG	8.940330e-02	7.124040e-04	6	true
3             	smoothSolver	1.949830e-02	1.551110e-03	8	1.815050e-01	1.417710e-02	8	1.125090e-01	8.814950e-03	8	false	GAMG	6.176560e-02	3.425510e-04	6	true
4             	smoothSolver	1.548900e-02	1.285950e-03	8	1.521500e-01	1.221980e-02	8	9.999450e-02	8.075280e-03	8	false	GAMG	4.909000e-02	3.229250e-04	6	true
5             	smoothSolver	1.305840e-02	1.141430e-03	8	1.310740e-01	1.101440e-02	8	8.982130e-02	7.478610e-03	8	false	GAMG	4.198400e-02	3.548420e-04	5	true
6             	smoothSolver	1.103370e-02	1.017490e-03	8	1.150610e-01	1.014500e-02	8	8.039460e-02	6.909660e-03	8	false	GAMG	3.692660e-02	3.208490e-04	5	true
7             	smoothSolver	9.702300e-03	9.202840e-04	8	1.026070e-01	9.413210e-03	8	7.198140e-02	6.385080e-03	8	false	GAMG	3.352210e-02	2.612130e-04	5	true
8             	smoothSolver	8.721970e-03	8.462020e-04	8	9.198470e-02	8.655510e-03	8	6.546040e-02	5.933880e-03	8	false	GAMG	3.078780e-02	2.995410e-04	4	true
9             	smoothSolver	7.939310e-03	7.911780e-04	8	8.303870e-02	7.972560e-03	8	6.011780e-02	5.579270e-03	8	false	GAMG	2.898930e-02	2.794090e-04	4	true
10            	smoothSolver	7.284800e-03	5.814750e-04	9	7.579260e-02	7.456180e-03	8	5.617010e-02	5.324710e-03	8	false	GAMG	2.802670e-02	2.560980e-04	4	true
11            	smoothSolver	6.783420e-03	5.503310e-04	9	6.995170e-02	5.483280e-03	9	5.341250e-02	5.160670e-03	8	false	GAMG	2.715410e-02	2.499230e-04	4	true
12            	smoothSolver	6.419820e-03	5.291350e-04	9	6.509900e-02	5.214130e-03	9	5.161830e-02	5.065720e-03	8	false	GAMG	2.546910e-02	2.437320e-04	4	true
13            	smoothSolver	6.086020e-03	5.141730e-04	9	6.107220e-02	4.997870e-03	9	5.043970e-02	3.944550e-03	9	false	GAMG	2.442370e-02	2.400990e-04	4	true
14            	smoothSolver	5.863770e-03	5.039280e-04	9	5.811220e-02	4.847390e-03	9	5.007260e-02	3.973090e-03	9	false	GAMG	2.371920e-02	2.363260e-04	4	true
15            	smoothSolver	5.705260e-03	4.979780e-04	9	5.601100e-02	4.717070e-03	9	5.027330e-02	4.000470e-03	9	false	GAMG	2.300550e-02	1.225350e-04	5	true
16            	smoothSolver	5.579200e-03	4.928120e-04	9	5.441950e-02	4.611770e-03	9	5.095540e-02	4.073920e-03	9	false	GAMG	2.251560e-02	2.152490e-04	4	true
17            	smoothSolver	5.490960e-03	4.875610e-04	9	5.289680e-02	4.497070e-03	9	5.123800e-02	4.119540e-03	9	false	GAMG	2.210550e-02	1.142730e-04	5	true
18            	smoothSolver	5.473770e-03	4.846530e-04	9	5.176030e-02	4.409160e-03	9	5.197190e-02	4.201110e-03	9	false	GAMG	2.161380e-02	1.068050e-04	5	true
19            	smoothSolver	5.439250e-03	4.808970e-04	9	5.040320e-02	4.290440e-03	9	5.243880e-02	4.223060e-03	9	false	GAMG	2.150320e-02	1.091450e-04	5	true
20            	smoothSolver	5.461320e-03	4.773110e-04	9	4.926790e-02	4.174380e-03	9	5.272270e-02	4.215440e-03	9	false	GAMG	2.138830e-02	1.158250e-04	5	true
21            	smoothSolver	5.444720e-03	4.740620e-04	9	4.805160e-02	4.052590e-03	9	5.219380e-02	4.166790e-03	9	false	GAMG	2.137760e-02	1.178400e-04	5	true
