# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.342249e+00	6.749797e-01	6.672696e-01	-3.867221e-02	5.529841e-01	-5.916563e-01	5.723202e-01	3.855014e-03	-2.061525e-03	-2.209136e-02	-1.310720e-02	-8.984153e-03
2             	1.529821e+00	7.724411e-01	7.573799e-01	-5.448332e-02	6.270275e-01	-6.815108e-01	6.542692e-01	7.530593e-03	-3.316271e-03	-3.191383e-02	-1.927319e-02	-1.264064e-02
3             	1.332697e+00	6.735457e-01	6.591515e-01	-4.105350e-02	5.506094e-01	-5.916629e-01	5.711361e-01	7.197097e-03	-1.432802e-03	-2.963166e-02	-1.624863e-02	-1.338303e-02
4             	1.082089e+00	5.454661e-01	5.366226e-01	-2.896033e-02	4.477407e-01	-4.767010e-01	4.622209e-01	4.421712e-03	1.620290e-03	-2.147945e-02	-9.119435e-03	-1.236002e-02
5             	8.778436e-01	4.397567e-01	4.380869e-01	-1.915208e-02	3.620423e-01	-3.811944e-01	3.716184e-01	8.349166e-04	4.679051e-03	-1.270387e-02	-1.672882e-03	-1.103098e-02
6             	7.256978e-01	3.621792e-01	3.635185e-01	-5.455239e-03	3.015333e-01	-3.069885e-01	3.042609e-01	-6.696423e-04	5.105216e-03	-9.529912e-03	3.402601e-04	-9.870172e-03
7             	6.201494e-01	3.098299e-01	3.103195e-01	6.183519e-03	2.606610e-01	-2.544775e-01	2.575693e-01	-2.447654e-04	3.427314e-03	-1.087852e-02	-2.011946e-03	-8.866574e-03
8             	5.515243e-01	2.769084e-01	2.746159e-01	1.196928e-02	2.330372e-01	-2.210679e-01	2.270525e-01	1.146228e-03	2.836394e-04	-1.468091e-02	-7.056813e-03	-7.624092e-03
9             	5.078440e-01	2.571418e-01	2.507022e-01	1.475954e-02	2.147744e-01	-2.000149e-01	2.073946e-01	3.219792e-03	-3.240308e-03	-1.973758e-02	-1.310910e-02	-6.628483e-03
10            	4.798209e-01	2.446533e-01	2.351676e-01	1.682950e-02	2.025849e-01	-1.857554e-01	1.941702e-01	4.742865e-03	-6.133806e-03	-2.305675e-02	-1.766218e-02	-5.394569e-03
11            	4.607141e-01	2.363436e-01	2.243706e-01	1.984832e-02	1.948414e-01	-1.749931e-01	1.849173e-01	5.986508e-03	-7.797981e-03	-2.508569e-02	-2.034083e-02	-4.744865e-03
12            	4.481055e-01	2.300093e-01	2.180962e-01	2.547281e-02	1.919062e-01	-1.664334e-01	1.791698e-01	5.956558e-03	-7.985402e-03	-2.419879e-02	-2.008480e-02	-4.113993e-03
13            	4.407798e-01	2.256486e-01	2.151312e-01	3.184654e-02	1.921360e-01	-1.602895e-01	1.762128e-01	5.258686e-03	-7.735092e-03	-2.193618e-02	-1.870318e-02	-3.232998e-03
14            	4.373096e-01	2.233366e-01	2.139730e-01	3.815294e-02	1.948671e-01	-1.567142e-01	1.757907e-01	4.681764e-03	-7.481018e-03	-2.041766e-02	-1.768985e-02	-2.727812e-03
15            	4.349238e-01	2.220226e-01	2.129012e-01	4.409251e-02	1.982081e-01	-1.541156e-01	1.761619e-01	4.560721e-03	-7.391322e-03	-2.017850e-02	-1.748057e-02	-2.697928e-03
16            	4.327972e-01	2.214210e-01	2.113762e-01	4.939192e-02	2.012235e-01	-1.518315e-01	1.765275e-01	5.022417e-03	-7.913110e-03	-2.175126e-02	-1.878874e-02	-2.962520e-03
17            	4.312639e-01	2.212563e-01	2.100076e-01	5.392675e-02	2.037268e-01	-1.498001e-01	1.767635e-01	5.624343e-03	-8.817444e-03	-2.361070e-02	-2.062279e-02	-2.987907e-03
18            	4.302898e-01	2.210565e-01	2.092332e-01	5.646698e-02	2.052124e-01	-1.487454e-01	1.769789e-01	5.911633e-03	-9.342744e-03	-2.442488e-02	-2.155518e-02	-2.869695e-03
19            	4.292146e-01	2.202929e-01	2.089217e-01	5.704405e-02	2.055139e-01	-1.484699e-01	1.769919e-01	5.685620e-03	-8.846303e-03	-2.369973e-02	-2.069617e-02	-3.003561e-03
20            	4.281820e-01	2.189182e-01	2.092638e-01	5.647320e-02	2.051157e-01	-1.486425e-01	1.768791e-01	4.827243e-03	-7.500398e-03	-2.107513e-02	-1.803796e-02	-3.037165e-03
21            	4.268671e-01	2.172803e-01	2.095868e-01	5.519421e-02	2.040997e-01	-1.489055e-01	1.765026e-01	3.846728e-03	-5.439253e-03	-1.741161e-02	-1.414506e-02	-3.266553e-03
22            	4.252280e-01	2.156874e-01	2.095406e-01	5.404525e-02	2.026092e-01	-1.485640e-01	1.755866e-01	3.073437e-03	-3.014636e-03	-1.372592e-02	-9.877596e-03	-3.848324e-03
