# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	8.739890e-02	8.178210e-03	7	5.827350e-01	4.439660e-02	7	3.966930e-01	3.775700e-02	5	false	GAMG	1.000000e+00	5.918400e-03	5	true
2             	smoothSolver	3.852260e-02	3.802000e-03	7	3.805320e-01	3.559780e-02	7	1.628310e-01	1.315680e-02	7	false	GAMG	7.531210e-02	3.310540e-04	5	true
3             	smoothSolver	2.022870e-02	1.667080e-03	8	2.929550e-01	2.816310e-02	7	1.104620e-01	9.650830e-03	7	false	GAMG	5.196580e-02	4.915560e-04	4	true
4             	smoothSolver	1.368390e-02	1.170990e-03	8	2.341890e-01	2.164290e-02	7	9.969540e-02	8.863290e-03	7	false	GAMG	4.566290e-02	3.973490e-04	4	true
5             	smoothSolver	1.062460e-02	8.819510e-04	8	2.012620e-01	1.804420e-02	7	1.027300e-01	9.172860e-03	7	false	GAMG	4.120020e-02	3.478150e-04	4	true
6             	smoothSolver	8.510380e-03	6.819250e-04	8	1.805540e-01	1.600630e-02	7	1.082050e-01	9.707690e-03	7	false	GAMG	3.680010e-02	2.942800e-04	4	true
7             	smoothSolver	7.115130e-03	5.549340e-04	8	1.625490e-01	1.443760e-02	7	1.186270e-01	1.065710e-02	7	false	GAMG	3.275600e-02	2.405860e-04	4	true
8             	smoothSolver	6.115480e-03	4.810750e-04	8	1.447150e-01	1.280100e-02	7	1.300170e-01	1.168710e-02	7	false	GAMG	2.987440e-02	1.908710e-04	4	true
9             	smoothSolver	5.355660e-03	4.308740e-04	8	1.300030e-01	1.144220e-02	7	1.362130e-01	1.222670e-02	7	false	GAMG	2.772280e-02	1.545560e-04	4	true
10            	smoothSolver	4.784790e-03	3.925250e-04	8	1.177830e-01	1.032330e-02	7	1.231900e-01	1.106100e-02	7	false	GAMG	2.609180e-02	1.308930e-04	4	true
11            	smoothSolver	4.364950e-03	3.606580e-04	8	1.066960e-01	9.342430e-03	7	1.119360e-01	1.006700e-02	7	false	GAMG	2.498430e-02	1.235690e-04	4	true
12            	smoothSolver	4.065050e-03	3.350310e-04	8	9.679240e-02	8.514870e-03	7	1.069360e-01	9.696000e-03	7	false	GAMG	2.400300e-02	1.221850e-04	4	true
13            	smoothSolver	3.853260e-03	3.146170e-04	8	8.799160e-02	7.879700e-03	7	1.032640e-01	9.453480e-03	7	false	GAMG	2.333600e-02	1.232540e-04	4	true
14            	smoothSolver	3.691280e-03	3.007620e-04	8	8.076730e-02	7.371630e-03	7	9.617490e-02	8.908350e-03	7	false	GAMG	2.280020e-02	1.242900e-04	4	true
15            	smoothSolver	3.534630e-03	2.901090e-04	8	7.485760e-02	6.947720e-03	7	8.556580e-02	8.059260e-03	7	false	GAMG	2.227440e-02	1.238260e-04	4	true
16            	smoothSolver	3.364720e-03	2.760140e-04	8	6.969080e-02	6.518250e-03	7	7.722930e-02	7.286520e-03	7	false	GAMG	2.162840e-02	1.183430e-04	4	true
17            	smoothSolver	3.190500e-03	2.620750e-04	8	6.505710e-02	6.104170e-03	7	7.043990e-02	6.557170e-03	7	false	GAMG	2.076660e-02	1.087860e-04	4	true
