# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 2.736000e+00
# Aref        : 2.269500e+00
# CofR        : (2.294000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.239824e+00	6.220015e-01	6.178228e-01	-8.096590e-01	-1.387188e-01	-6.709402e-01	2.661107e-01	2.089325e-03	1.569301e-03	-5.312687e-03	-1.087043e-03	-4.225644e-03
2             	1.197901e+00	6.007909e-01	5.971104e-01	-8.697748e-01	-1.633345e-01	-7.064402e-01	2.715529e-01	1.840223e-03	1.471086e-03	-5.551155e-03	-1.304492e-03	-4.246663e-03
3             	1.015772e+00	5.090805e-01	5.066915e-01	-7.977012e-01	-1.573601e-01	-6.403411e-01	2.414905e-01	1.194505e-03	9.039960e-04	-3.138438e-03	-6.652229e-04	-2.473215e-03
4             	8.770598e-01	4.399370e-01	4.371228e-01	-7.738070e-01	-1.775239e-01	-5.962832e-01	2.093797e-01	1.407067e-03	4.100451e-04	-3.083074e-03	-1.131492e-03	-1.951582e-03
5             	8.008568e-01	4.020637e-01	3.987931e-01	-7.756214e-01	-1.912676e-01	-5.843538e-01	1.965431e-01	1.635292e-03	2.345710e-05	-3.512626e-03	-1.732856e-03	-1.779770e-03
6             	7.592729e-01	3.815161e-01	3.777568e-01	-7.832414e-01	-1.988982e-01	-5.843432e-01	1.927225e-01	1.879639e-03	-2.808765e-04	-3.897772e-03	-2.229763e-03	-1.668010e-03
7             	7.358585e-01	3.697682e-01	3.660903e-01	-7.823541e-01	-1.956316e-01	-5.867225e-01	1.955454e-01	1.838991e-03	-6.711990e-04	-3.864851e-03	-2.603624e-03	-1.261226e-03
8             	7.227285e-01	3.631112e-01	3.596173e-01	-7.785968e-01	-1.924840e-01	-5.861128e-01	1.968144e-01	1.746974e-03	-1.114120e-03	-3.609735e-03	-2.918988e-03	-6.907474e-04
9             	7.101660e-01	3.566514e-01	3.535146e-01	-7.626567e-01	-1.880995e-01	-5.745573e-01	1.932289e-01	1.568417e-03	-1.252114e-03	-3.743057e-03	-3.123643e-03	-6.194148e-04
10            	6.983854e-01	3.504748e-01	3.479106e-01	-7.348053e-01	-1.856279e-01	-5.491773e-01	1.817747e-01	1.282126e-03	-1.247786e-03	-3.947202e-03	-3.221387e-03	-7.258144e-04
