# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	3.793370e-02	3.236050e-03	9	2.236900e-01	1.780520e-02	9	2.439830e-01	1.921440e-02	8	false	GAMG	1.000000e+00	9.896780e-03	9	true
2             	smoothSolver	2.278880e-02	1.988030e-03	8	1.394090e-01	1.127870e-02	8	1.366780e-01	1.115500e-02	8	false	GAMG	6.680820e-02	6.057770e-04	7	true
3             	smoothSolver	1.398400e-02	1.209290e-03	8	1.029330e-01	7.940080e-03	8	1.037060e-01	8.339820e-03	8	false	GAMG	4.749120e-02	3.477790e-04	7	true
4             	smoothSolver	1.000430e-02	8.386130e-04	8	8.098030e-02	8.006980e-03	7	8.361260e-02	6.640090e-03	8	false	GAMG	3.960550e-02	3.529510e-04	6	true
5             	smoothSolver	7.785040e-03	6.691920e-04	8	6.940430e-02	5.514320e-03	8	7.136720e-02	5.700700e-03	8	false	GAMG	3.367560e-02	2.361540e-04	7	true
6             	smoothSolver	6.391630e-03	5.750240e-04	8	6.251120e-02	5.267710e-03	8	6.484110e-02	5.341310e-03	8	false	GAMG	3.016520e-02	1.975090e-04	7	true
7             	smoothSolver	5.432250e-03	5.114050e-04	8	5.707150e-02	5.106900e-03	8	6.035300e-02	5.201970e-03	8	false	GAMG	2.713090e-02	2.300990e-04	6	true
8             	smoothSolver	4.784390e-03	4.653210e-04	8	5.218880e-02	4.940840e-03	8	5.683630e-02	5.134220e-03	8	false	GAMG	2.474980e-02	1.949380e-04	6	true
9             	smoothSolver	4.299660e-03	3.416390e-04	9	4.833800e-02	4.782030e-03	8	5.329970e-02	5.006120e-03	8	false	GAMG	2.294440e-02	1.637970e-04	6	true
10            	smoothSolver	3.946510e-03	3.232210e-04	9	4.552380e-02	3.665970e-03	9	4.836520e-02	4.686280e-03	8	false	GAMG	2.135620e-02	1.619100e-04	6	true
11            	smoothSolver	3.684110e-03	3.094770e-04	9	4.308380e-02	3.540340e-03	9	4.381350e-02	4.368060e-03	8	false	GAMG	2.012280e-02	1.540510e-04	6	true
12            	smoothSolver	3.464820e-03	2.976560e-04	9	4.103140e-02	3.438710e-03	9	3.970160e-02	3.158910e-03	9	false	GAMG	1.912560e-02	1.264380e-04	6	true
13            	smoothSolver	3.306550e-03	2.888980e-04	9	3.923420e-02	3.360180e-03	9	3.593860e-02	2.890000e-03	9	false	GAMG	1.828760e-02	1.763360e-04	5	true
14            	smoothSolver	3.182760e-03	2.827400e-04	9	3.761500e-02	3.292140e-03	9	3.276090e-02	2.671260e-03	9	false	GAMG	1.777000e-02	1.032970e-04	6	true
15            	smoothSolver	3.094830e-03	2.791660e-04	9	3.639280e-02	3.244200e-03	9	3.030940e-02	2.515210e-03	9	false	GAMG	1.716160e-02	1.608910e-04	5	true
16            	smoothSolver	3.020920e-03	2.768970e-04	9	3.542870e-02	3.221990e-03	9	2.832070e-02	2.398360e-03	9	false	GAMG	1.677570e-02	1.662090e-04	5	true
17            	smoothSolver	2.965970e-03	2.762520e-04	9	3.464480e-02	3.211240e-03	9	2.676080e-02	2.319940e-03	9	false	GAMG	1.628170e-02	1.614600e-04	5	true
18            	smoothSolver	2.915540e-03	2.761370e-04	9	3.402250e-02	3.202610e-03	9	2.557200e-02	2.274090e-03	9	false	GAMG	1.588370e-02	1.569980e-04	5	true
19            	smoothSolver	2.864620e-03	2.751290e-04	9	3.344420e-02	3.192100e-03	9	2.469610e-02	2.247970e-03	9	false	GAMG	1.557790e-02	1.536770e-04	5	true
20            	smoothSolver	2.817580e-03	2.745600e-04	9	3.293390e-02	3.184690e-03	9	2.404530e-02	2.231000e-03	9	false	GAMG	1.537630e-02	1.513640e-04	5	true
21            	smoothSolver	2.775720e-03	2.748490e-04	9	3.251100e-02	3.183010e-03	9	2.350970e-02	2.214840e-03	9	false	GAMG	1.520110e-02	1.511860e-04	5	true
22            	smoothSolver	2.741380e-03	2.178740e-04	10	3.219740e-02	3.187950e-03	9	2.304150e-02	2.195650e-03	9	false	GAMG	1.503640e-02	9.711750e-05	6	true
23            	smoothSolver	2.718510e-03	2.177910e-04	10	3.211900e-02	3.210700e-03	9	2.272930e-02	2.184510e-03	9	false	GAMG	1.495040e-02	1.388680e-04	5	true
24            	smoothSolver	2.695520e-03	2.181840e-04	10	3.202270e-02	2.557430e-03	10	2.239880e-02	2.162870e-03	9	false	GAMG	1.497950e-02	1.482140e-04	5	true
25            	smoothSolver	2.695620e-03	2.184340e-04	10	3.194720e-02	2.562730e-03	10	2.226980e-02	2.155200e-03	9	false	GAMG	1.499930e-02	1.458600e-04	5	true
26            	smoothSolver	2.705710e-03	2.181170e-04	10	3.202080e-02	2.579460e-03	10	2.214190e-02	2.145900e-03	9	false	GAMG	1.496990e-02	1.421300e-04	5	true
27            	smoothSolver	2.726190e-03	2.181600e-04	10	3.224320e-02	2.605800e-03	10	2.207150e-02	2.140670e-03	9	false	GAMG	1.488970e-02	1.387190e-04	5	true
28            	smoothSolver	2.749790e-03	2.191270e-04	10	3.252710e-02	2.634150e-03	10	2.212810e-02	2.147380e-03	9	false	GAMG	1.479880e-02	1.380070e-04	5	true
29            	smoothSolver	2.769660e-03	2.199660e-04	10	3.277790e-02	2.660720e-03	10	2.227220e-02	2.160090e-03	9	false	GAMG	1.463360e-02	1.401720e-04	5	true
30            	smoothSolver	2.780640e-03	2.201570e-04	10	3.290970e-02	2.679300e-03	10	2.248050e-02	2.174820e-03	9	false	GAMG	1.451640e-02	1.435090e-04	5	true
31            	smoothSolver	2.787850e-03	2.201470e-04	10	3.298550e-02	2.689660e-03	10	2.278710e-02	2.205280e-03	9	false	GAMG	1.450230e-02	8.396680e-05	6	true
32            	smoothSolver	2.797580e-03	2.206090e-04	10	3.311660e-02	2.700010e-03	10	2.332190e-02	2.262550e-03	9	false	GAMG	1.458080e-02	1.423920e-04	5	true
33            	smoothSolver	2.817200e-03	2.796890e-04	9	3.320630e-02	2.700120e-03	10	2.396000e-02	2.327070e-03	9	false	GAMG	1.477340e-02	8.951550e-05	6	true
34            	smoothSolver	2.846290e-03	2.795740e-04	9	3.328630e-02	2.684570e-03	10	2.470600e-02	2.391400e-03	9	false	GAMG	1.505380e-02	8.387840e-05	6	true
35            	smoothSolver	2.867880e-03	2.779900e-04	9	3.331220e-02	2.655970e-03	10	2.546600e-02	2.447690e-03	9	false	GAMG	1.537900e-02	1.535260e-04	5	true
36            	smoothSolver	2.879940e-03	2.747130e-04	9	3.325270e-02	3.318170e-03	9	2.623020e-02	2.492090e-03	9	false	GAMG	1.565940e-02	8.581390e-05	6	true
37            	smoothSolver	2.883850e-03	2.691010e-04	9	3.332630e-02	3.277210e-03	9	2.697250e-02	2.522730e-03	9	false	GAMG	1.604940e-02	1.572400e-04	5	true
38            	smoothSolver	2.901870e-03	2.632300e-04	9	3.353560e-02	3.235990e-03	9	2.763150e-02	2.535360e-03	9	false	GAMG	1.647250e-02	9.064090e-05	6	true
39            	smoothSolver	2.930430e-03	2.578700e-04	9	3.399860e-02	3.191320e-03	9	2.839950e-02	2.540060e-03	9	false	GAMG	1.703600e-02	1.667820e-04	5	true
40            	smoothSolver	2.973830e-03	2.549870e-04	9	3.460780e-02	3.146340e-03	9	2.910530e-02	2.527340e-03	9	false	GAMG	1.787030e-02	1.759270e-04	5	true
41            	smoothSolver	3.018730e-03	2.538400e-04	9	3.522170e-02	3.100510e-03	9	2.982910e-02	2.512670e-03	9	false	GAMG	1.887690e-02	1.738210e-04	5	true
42            	smoothSolver	3.057300e-03	2.539420e-04	9	3.559350e-02	3.048810e-03	9	3.039960e-02	2.497090e-03	9	false	GAMG	1.980660e-02	1.686060e-04	5	true
43            	smoothSolver	3.057470e-03	2.542280e-04	9	3.562220e-02	2.989770e-03	9	3.071580e-02	2.481700e-03	9	false	GAMG	2.051480e-02	1.636100e-04	5	true
44            	smoothSolver	3.021460e-03	2.533340e-04	9	3.505330e-02	2.935580e-03	9	3.058130e-02	2.475300e-03	9	false	GAMG	2.068360e-02	1.602090e-04	5	true
45            	smoothSolver	2.947970e-03	2.505800e-04	9	3.425720e-02	2.902970e-03	9	3.011610e-02	2.479150e-03	9	false	GAMG	2.013530e-02	1.569010e-04	5	true
46            	smoothSolver	2.870610e-03	2.467690e-04	9	3.364900e-02	2.890550e-03	9	2.959290e-02	2.481480e-03	9	false	GAMG	1.920990e-02	1.529500e-04	5	true
