# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 2.736000e+00
# Aref        : 2.269500e+00
# CofR        : (2.294000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.772099e-01	1.395881e-01	1.376218e-01	-4.288015e-02	2.998969e-02	-7.286984e-02	5.142977e-02	9.831237e-04	-6.695538e-04	-5.257106e-03	-3.298107e-03	-1.958999e-03
2             	2.543279e-01	1.287183e-01	1.256097e-01	-5.078773e-02	2.358113e-02	-7.436886e-02	4.897500e-02	1.554306e-03	3.983952e-04	-7.395542e-03	-3.299376e-03	-4.096166e-03
3             	1.932569e-01	9.811232e-02	9.514458e-02	-4.468319e-02	1.503817e-02	-5.972136e-02	3.737977e-02	1.483869e-03	1.202138e-03	-6.404115e-03	-1.999920e-03	-4.404195e-03
4             	1.503319e-01	7.677224e-02	7.355962e-02	-3.657168e-02	1.034289e-02	-4.691457e-02	2.862873e-02	1.606313e-03	1.620346e-03	-6.239230e-03	-1.499269e-03	-4.739961e-03
5             	1.323290e-01	6.774174e-02	6.458724e-02	-2.563294e-02	1.200036e-02	-3.763329e-02	2.481683e-02	1.577252e-03	1.925756e-03	-5.689315e-03	-9.189014e-04	-4.770414e-03
6             	1.273488e-01	6.512740e-02	6.222135e-02	-1.177270e-02	1.729100e-02	-2.906370e-02	2.317735e-02	1.453022e-03	1.749250e-03	-5.049580e-03	-7.755405e-04	-4.274040e-03
7             	1.264656e-01	6.477453e-02	6.169110e-02	2.577503e-03	2.339559e-02	-2.081809e-02	2.210684e-02	1.541714e-03	1.214329e-03	-4.946518e-03	-1.258930e-03	-3.687587e-03
8             	1.260776e-01	6.474161e-02	6.133594e-02	1.700161e-02	2.960338e-02	-1.260177e-02	2.110257e-02	1.702832e-03	7.502301e-04	-4.692603e-03	-1.596071e-03	-3.096532e-03
9             	1.223383e-01	6.297519e-02	5.936315e-02	3.117084e-02	3.527595e-02	-4.105109e-03	1.969053e-02	1.806024e-03	1.269354e-05	-4.927538e-03	-2.451076e-03	-2.476463e-03
10            	1.159687e-01	5.975652e-02	5.621218e-02	4.338591e-02	3.957812e-02	3.807786e-03	1.788517e-02	1.772168e-03	-8.307677e-04	-5.162976e-03	-3.412256e-03	-1.750720e-03
11            	1.096727e-01	5.649175e-02	5.318090e-02	5.330051e-02	4.263993e-02	1.066059e-02	1.598967e-02	1.655424e-03	-1.307811e-03	-4.846772e-03	-3.731197e-03	-1.115574e-03
12            	1.049321e-01	5.378547e-02	5.114661e-02	6.015744e-02	4.417190e-02	1.598554e-02	1.409318e-02	1.319433e-03	-1.105263e-03	-3.389212e-03	-2.799869e-03	-5.893434e-04
13            	1.018828e-01	5.173905e-02	5.014376e-02	6.424081e-02	4.453574e-02	1.970507e-02	1.241534e-02	7.976423e-04	-5.897978e-04	-1.467368e-03	-1.323482e-03	-1.438861e-04
14            	1.003051e-01	5.039655e-02	4.990851e-02	6.661682e-02	4.446569e-02	2.215112e-02	1.115729e-02	2.440204e-04	-2.300248e-04	3.711168e-04	-4.446641e-05	4.155833e-04
15            	9.959440e-02	4.956699e-02	5.002742e-02	6.693992e-02	4.400864e-02	2.293128e-02	1.053868e-02	-2.302139e-04	2.375471e-04	1.855211e-03	1.165153e-03	6.900585e-04
16            	1.005210e-01	4.973098e-02	5.078999e-02	6.664627e-02	4.377695e-02	2.286931e-02	1.045382e-02	-5.295042e-04	9.662671e-04	2.159566e-03	2.046050e-03	1.135161e-04
17            	1.029037e-01	5.078547e-02	5.211822e-02	6.632825e-02	4.414233e-02	2.218592e-02	1.097821e-02	-6.663748e-04	1.608308e-03	1.295527e-03	2.256072e-03	-9.605449e-04
18            	1.062520e-01	5.230469e-02	5.394734e-02	6.603666e-02	4.508651e-02	2.095016e-02	1.206818e-02	-8.213279e-04	2.133448e-03	4.502102e-04	2.358553e-03	-1.908343e-03
19            	1.101455e-01	5.421318e-02	5.593231e-02	6.516627e-02	4.620620e-02	1.896007e-02	1.362306e-02	-8.595650e-04	2.209029e-03	-5.816276e-04	1.918216e-03	-2.499843e-03
20            	1.142665e-01	5.640874e-02	5.785780e-02	6.356371e-02	4.725363e-02	1.631008e-02	1.547178e-02	-7.245304e-04	1.759902e-03	-1.584166e-03	9.678188e-04	-2.551985e-03
21            	1.182837e-01	5.862859e-02	5.965511e-02	6.148095e-02	4.817124e-02	1.330971e-02	1.743076e-02	-5.132585e-04	9.467375e-04	-2.347009e-03	-2.267672e-04	-2.120242e-03
22            	1.218872e-01	6.072451e-02	6.116271e-02	5.913969e-02	4.898364e-02	1.015605e-02	1.941379e-02	-2.190977e-04	7.468453e-05	-2.869027e-03	-1.359829e-03	-1.509198e-03
23            	1.247264e-01	6.248606e-02	6.224039e-02	5.745598e-02	4.985411e-02	7.601872e-03	2.112612e-02	1.228349e-04	-5.833390e-04	-3.015709e-03	-2.091194e-03	-9.245156e-04
24            	1.271461e-01	6.406007e-02	6.308603e-02	5.629475e-02	5.077863e-02	5.516120e-03	2.263126e-02	4.870185e-04	-1.084786e-03	-2.903333e-03	-2.536453e-03	-3.668804e-04
25            	1.292947e-01	6.555570e-02	6.373896e-02	5.640917e-02	5.198949e-02	4.419677e-03	2.378491e-02	9.083694e-04	-1.351101e-03	-2.971396e-03	-2.836799e-03	-1.345973e-04
26            	1.317007e-01	6.716291e-02	6.453779e-02	5.813239e-02	5.374780e-02	4.384592e-03	2.468160e-02	1.312561e-03	-1.235368e-03	-3.053711e-03	-2.762224e-03	-2.914873e-04
27            	1.340685e-01	6.856603e-02	6.550249e-02	6.093043e-02	5.592468e-02	5.005750e-03	2.545946e-02	1.531769e-03	-7.347062e-04	-3.018615e-03	-2.244014e-03	-7.746014e-04
28            	1.356818e-01	6.940066e-02	6.628119e-02	6.388434e-02	5.803516e-02	5.849184e-03	2.609299e-02	1.559734e-03	-9.567411e-05	-3.173461e-03	-1.682404e-03	-1.491056e-03
29            	1.358651e-01	6.936654e-02	6.649861e-02	6.600517e-02	5.941993e-02	6.585240e-03	2.641735e-02	1.433966e-03	3.682194e-04	-3.882225e-03	-1.572893e-03	-2.309332e-03
