# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 2.720000e+00
# Aref        : 2.269500e+00
# CofR        : (2.400000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.235366e+00	6.187860e-01	6.165795e-01	-7.191134e-01	-1.351798e-01	-5.839336e-01	2.243769e-01	1.103203e-03	1.439597e-03	-2.644355e-03	1.174196e-04	-2.761774e-03
2             	1.212755e+00	6.080804e-01	6.046749e-01	-7.840032e-01	-1.562207e-01	-6.277826e-01	2.357810e-01	1.702748e-03	1.749367e-03	-4.466796e-03	-4.840313e-04	-3.982765e-03
3             	1.005914e+00	5.046018e-01	5.013125e-01	-7.240994e-01	-1.524595e-01	-5.716399e-01	2.095902e-01	1.644666e-03	1.042540e-03	-3.369364e-03	-6.421418e-04	-2.727222e-03
4             	8.531907e-01	4.282546e-01	4.249361e-01	-6.989164e-01	-1.541579e-01	-5.447586e-01	1.953004e-01	1.659239e-03	3.812535e-04	-2.692489e-03	-9.649912e-04	-1.727498e-03
5             	7.735866e-01	3.884833e-01	3.851033e-01	-7.043824e-01	-1.547474e-01	-5.496349e-01	1.974437e-01	1.690018e-03	6.259493e-05	-3.016811e-03	-1.445811e-03	-1.571001e-03
6             	7.361982e-01	3.698401e-01	3.663581e-01	-7.110580e-01	-1.559474e-01	-5.551106e-01	1.995816e-01	1.740985e-03	-1.066253e-04	-3.089390e-03	-1.651320e-03	-1.438070e-03
7             	7.171040e-01	3.602228e-01	3.568812e-01	-7.089710e-01	-1.543242e-01	-5.546467e-01	2.001612e-01	1.670830e-03	-4.631944e-04	-3.112785e-03	-2.019587e-03	-1.093198e-03
8             	7.065369e-01	3.548803e-01	3.516567e-01	-7.061113e-01	-1.552503e-01	-5.508609e-01	1.978053e-01	1.611794e-03	-7.755222e-04	-3.058704e-03	-2.304874e-03	-7.538297e-04
9             	6.992619e-01	3.511546e-01	3.481073e-01	-6.961281e-01	-1.558555e-01	-5.402726e-01	1.922086e-01	1.523624e-03	-7.627978e-04	-2.833078e-03	-2.179337e-03	-6.537410e-04
10            	6.932635e-01	3.481450e-01	3.451185e-01	-6.785644e-01	-1.591160e-01	-5.194483e-01	1.801661e-01	1.513288e-03	-5.848741e-04	-2.819356e-03	-1.994552e-03	-8.248040e-04
11            	6.874094e-01	3.452491e-01	3.421603e-01	-6.524530e-01	-1.605929e-01	-4.918601e-01	1.656336e-01	1.544429e-03	-3.060730e-04	-3.050012e-03	-1.831079e-03	-1.218933e-03
12            	6.821221e-01	3.427743e-01	3.393478e-01	-6.191554e-01	-1.610458e-01	-4.581095e-01	1.485319e-01	1.713276e-03	-1.065444e-04	-3.241172e-03	-1.727131e-03	-1.514042e-03
13            	6.789442e-01	3.412989e-01	3.376453e-01	-5.819768e-01	-1.609671e-01	-4.210097e-01	1.300213e-01	1.826816e-03	5.526912e-06	-3.005170e-03	-1.497058e-03	-1.508112e-03
14            	6.755801e-01	3.397074e-01	3.358727e-01	-5.409736e-01	-1.590132e-01	-3.819604e-01	1.114736e-01	1.917349e-03	-1.340132e-04	-2.390065e-03	-1.329046e-03	-1.061019e-03
15            	6.723992e-01	3.381723e-01	3.342269e-01	-4.997873e-01	-1.575192e-01	-3.422682e-01	9.237452e-02	1.972696e-03	-2.913146e-04	-1.452898e-03	-1.017764e-03	-4.351344e-04
16            	6.710016e-01	3.374893e-01	3.335122e-01	-4.602455e-01	-1.582216e-01	-3.020239e-01	7.190111e-02	1.988541e-03	-3.988480e-04	-6.595276e-04	-7.286118e-04	6.908414e-05
17            	6.722369e-01	3.379568e-01	3.342800e-01	-4.222720e-01	-1.602575e-01	-2.620146e-01	5.087857e-02	1.838385e-03	-3.020002e-04	-4.205909e-04	-5.122956e-04	9.170474e-05
18            	6.748109e-01	3.388157e-01	3.359952e-01	-3.854944e-01	-1.617621e-01	-2.237323e-01	3.098508e-02	1.410261e-03	2.030932e-04	5.921310e-05	2.326997e-04	-1.734866e-04
19            	6.774710e-01	3.395628e-01	3.379082e-01	-3.478698e-01	-1.632913e-01	-1.845785e-01	1.064362e-02	8.273377e-04	3.512033e-04	4.369943e-04	5.697005e-04	-1.327061e-04
20            	6.793823e-01	3.401993e-01	3.391830e-01	-3.095281e-01	-1.640771e-01	-1.454510e-01	-9.313061e-03	5.081317e-04	1.095264e-04	3.249501e-05	1.257739e-04	-9.327891e-05
21            	6.798551e-01	3.403477e-01	3.395074e-01	-2.730002e-01	-1.630121e-01	-1.099881e-01	-2.651205e-02	4.201196e-04	-2.432780e-04	-8.422159e-04	-6.643860e-04	-1.778300e-04
22            	6.786825e-01	3.398720e-01	3.388104e-01	-2.415397e-01	-1.612540e-01	-8.028562e-02	-4.048421e-02	5.308127e-04	-5.394297e-04	-1.594180e-03	-1.336519e-03	-2.576600e-04
23            	6.756412e-01	3.385532e-01	3.370880e-01	-2.142807e-01	-1.574095e-01	-5.687125e-02	-5.026911e-02	7.325742e-04	-7.041872e-04	-1.684404e-03	-1.546389e-03	-1.380146e-04
24            	6.704691e-01	3.361483e-01	3.343208e-01	-1.928089e-01	-1.500157e-01	-4.279324e-02	-5.361124e-02	9.137655e-04	-4.662119e-04	-9.336739e-04	-9.330488e-04	-6.250833e-07
25            	6.633479e-01	3.325975e-01	3.307505e-01	-1.748214e-01	-1.365719e-01	-3.824954e-02	-4.916117e-02	9.234831e-04	-1.202217e-04	4.949433e-04	1.272499e-04	3.676933e-04
26            	6.544090e-01	3.278502e-01	3.265588e-01	-1.580904e-01	-1.139289e-01	-4.416151e-02	-3.488369e-02	6.457067e-04	2.444360e-04	2.126341e-03	1.307606e-03	8.187344e-04
27            	6.440672e-01	3.220815e-01	3.219857e-01	-1.423194e-01	-8.258944e-02	-5.972995e-02	-1.142974e-02	4.788207e-05	7.141353e-04	3.864565e-03	2.646418e-03	1.218147e-03
28            	6.335329e-01	3.162495e-01	3.172834e-01	-1.276026e-01	-4.544852e-02	-8.215405e-02	1.835277e-02	-5.169836e-04	1.029957e-03	5.073116e-03	3.566514e-03	1.506601e-03
29            	6.239547e-01	3.110441e-01	3.129105e-01	-1.115080e-01	-7.140657e-03	-1.043674e-01	4.861337e-02	-9.331960e-04	8.987114e-04	5.729161e-03	3.763292e-03	1.965869e-03
30            	6.153334e-01	3.066365e-01	3.086969e-01	-9.228920e-02	2.914972e-02	-1.214389e-01	7.529432e-02	-1.030182e-03	6.235939e-04	5.177848e-03	3.212518e-03	1.965330e-03
31            	6.086133e-01	3.035855e-01	3.050278e-01	-7.423055e-02	5.744893e-02	-1.316795e-01	9.456420e-02	-7.211543e-04	6.204008e-04	3.550295e-03	2.395548e-03	1.154747e-03
32            	6.048473e-01	3.020485e-01	3.027988e-01	-6.027760e-02	7.655679e-02	-1.368344e-01	1.066956e-01	-3.751261e-04	1.048687e-03	2.086194e-03	2.091784e-03	-5.589972e-06
33            	6.038725e-01	3.015300e-01	3.023425e-01	-5.435902e-02	8.460918e-02	-1.389682e-01	1.117887e-01	-4.062469e-04	1.913208e-03	1.486034e-03	2.656224e-03	-1.170191e-03
34            	6.046615e-01	3.012564e-01	3.034050e-01	-5.422700e-02	8.528799e-02	-1.395150e-01	1.124015e-01	-1.074285e-03	3.161011e-03	2.203848e-03	4.262935e-03	-2.059087e-03
35            	6.062059e-01	3.007252e-01	3.054807e-01	-5.876731e-02	8.033817e-02	-1.391055e-01	1.097218e-01	-2.377754e-03	4.849414e-03	4.670266e-03	7.184547e-03	-2.514281e-03
36            	6.075260e-01	2.999379e-01	3.075882e-01	-6.747764e-02	7.093350e-02	-1.384111e-01	1.046723e-01	-3.825154e-03	6.825707e-03	8.435065e-03	1.104324e-02	-2.608175e-03
37            	6.074646e-01	2.986500e-01	3.088145e-01	-8.133159e-02	5.643081e-02	-1.377624e-01	9.709661e-02	-5.082238e-03	8.797913e-03	1.264461e-02	1.512022e-02	-2.475609e-03
38            	6.051617e-01	2.965152e-01	3.086465e-01	-9.953668e-02	3.687095e-02	-1.364076e-01	8.663929e-02	-6.065638e-03	1.061722e-02	1.658683e-02	1.891064e-02	-2.323812e-03
39            	6.002775e-01	2.933160e-01	3.069616e-01	-1.202500e-01	1.332720e-02	-1.335772e-01	7.345221e-02	-6.822790e-03	1.244564e-02	1.986232e-02	2.237680e-02	-2.514479e-03
40            	5.929608e-01	2.890955e-01	3.038653e-01	-1.415869e-01	-1.248593e-02	-1.291010e-01	5.830754e-02	-7.384858e-03	1.430249e-02	2.236819e-02	2.548658e-02	-3.118397e-03
41            	5.836884e-01	2.841095e-01	2.995789e-01	-1.624802e-01	-3.934032e-02	-1.231399e-01	4.189977e-02	-7.734711e-03	1.590525e-02	2.403901e-02	2.792475e-02	-3.885743e-03
42            	5.723146e-01	2.782595e-01	2.940551e-01	-1.823104e-01	-6.655139e-02	-1.157590e-01	2.460379e-02	-7.897791e-03	1.679684e-02	2.508227e-02	2.933798e-02	-4.255709e-03
43            	5.587636e-01	2.714766e-01	2.872870e-01	-2.012273e-01	-9.417749e-02	-1.070498e-01	6.436150e-03	-7.905228e-03	1.660078e-02	2.527552e-02	2.923854e-02	-3.963019e-03
44            	5.436836e-01	2.639767e-01	2.797069e-01	-2.184942e-01	-1.206751e-01	-9.781908e-02	-1.142801e-02	-7.865123e-03	1.554988e-02	2.504988e-02	2.807482e-02	-3.024936e-03
45            	5.301951e-01	2.572979e-01	2.728972e-01	-2.287547e-01	-1.396722e-01	-8.908254e-02	-2.529482e-02	-7.799626e-03	1.410504e-02	2.465358e-02	2.643183e-02	-1.778250e-03
46            	5.143694e-01	2.496245e-01	2.647449e-01	-2.428881e-01	-1.663214e-01	-7.656677e-02	-4.487730e-02	-7.560207e-03	1.255956e-02	2.404826e-02	2.458369e-02	-5.354244e-04
47            	5.033402e-01	2.446285e-01	2.587117e-01	-2.492613e-01	-1.798531e-01	-6.940822e-02	-5.522245e-02	-7.041586e-03	1.071555e-02	2.306220e-02	2.224665e-02	8.155528e-04
48            	4.900066e-01	2.388531e-01	2.511535e-01	-2.594025e-01	-1.967312e-01	-6.267130e-02	-6.702993e-02	-6.150178e-03	8.749542e-03	2.083887e-02	1.916898e-02	1.669894e-03
49            	4.807304e-01	2.352180e-01	2.455125e-01	-2.686171e-01	-2.053704e-01	-6.324677e-02	-7.106179e-02	-5.147266e-03	6.903692e-03	1.820469e-02	1.600604e-02	2.198654e-03
50            	4.708333e-01	2.314304e-01	2.394029e-01	-2.829426e-01	-2.144253e-01	-6.851732e-02	-7.295397e-02	-3.986224e-03	5.070190e-03	1.488674e-02	1.251356e-02	2.373180e-03
51            	4.619782e-01	2.281547e-01	2.338235e-01	-2.997970e-01	-2.221112e-01	-7.768583e-02	-7.221269e-02	-2.834411e-03	3.406842e-03	1.184192e-02	9.327803e-03	2.514118e-03
52            	4.546753e-01	2.256056e-01	2.290697e-01	-3.167407e-01	-2.270168e-01	-8.972382e-02	-6.864651e-02	-1.732045e-03	1.911957e-03	9.523239e-03	6.673577e-03	2.849662e-03
53            	4.490174e-01	2.236807e-01	2.253367e-01	-3.321844e-01	-2.284958e-01	-1.036886e-01	-6.240359e-02	-8.280216e-04	6.294004e-04	8.018109e-03	4.638455e-03	3.379654e-03
54            	4.451727e-01	2.223147e-01	2.228580e-01	-3.444280e-01	-2.260962e-01	-1.183317e-01	-5.388226e-02	-2.716481e-04	-3.240348e-04	7.123403e-03	3.237667e-03	3.885736e-03
55            	4.428240e-01	2.213580e-01	2.214660e-01	-3.516939e-01	-2.195847e-01	-1.321092e-01	-4.373775e-02	-5.404398e-05	-7.377065e-04	6.416947e-03	2.470767e-03	3.946180e-03
56            	4.407117e-01	2.204778e-01	2.202339e-01	-3.554380e-01	-2.093015e-01	-1.461365e-01	-3.158249e-02	1.219693e-04	-6.964354e-04	5.342721e-03	1.974925e-03	3.367796e-03
57            	4.399782e-01	2.200204e-01	2.199578e-01	-3.486741e-01	-1.918930e-01	-1.567811e-01	-1.755596e-02	3.134657e-05	-3.475741e-05	5.017226e-03	2.473856e-03	2.543370e-03
58            	4.392017e-01	2.196592e-01	2.195425e-01	-3.375104e-01	-1.674744e-01	-1.700360e-01	1.280829e-03	5.831053e-05	7.020688e-04	4.872802e-03	3.138470e-03	1.734332e-03
59            	4.391647e-01	2.195616e-01	2.196030e-01	-3.234070e-01	-1.434005e-01	-1.800065e-01	1.830298e-02	-2.069942e-05	1.459818e-03	5.698214e-03	4.308925e-03	1.389289e-03
60            	4.394188e-01	2.196156e-01	2.198032e-01	-3.037158e-01	-1.139670e-01	-1.897488e-01	3.789088e-02	-9.381872e-05	2.100255e-03	7.412901e-03	5.806705e-03	1.606196e-03
61            	4.405192e-01	2.200485e-01	2.204707e-01	-2.788800e-01	-8.375065e-02	-1.951293e-01	5.568933e-02	-2.111126e-04	2.608755e-03	9.919068e-03	7.568289e-03	2.350779e-03
62            	4.428934e-01	2.209246e-01	2.219688e-01	-2.522550e-01	-5.779234e-02	-1.944626e-01	6.833514e-02	-5.220978e-04	2.919555e-03	1.295633e-02	9.397719e-03	3.558608e-03
63            	4.467798e-01	2.222066e-01	2.245732e-01	-2.261808e-01	-3.764329e-02	-1.885375e-01	7.544710e-02	-1.183337e-03	2.971794e-03	1.625402e-02	1.109881e-02	5.155216e-03
64            	4.517087e-01	2.237087e-01	2.279999e-01	-2.018395e-01	-2.318214e-02	-1.786573e-01	7.773759e-02	-2.145613e-03	2.853870e-03	1.930542e-02	1.250658e-02	6.798842e-03
65            	4.572914e-01	2.254237e-01	2.318678e-01	-1.741448e-01	-9.873860e-03	-1.642710e-01	7.719855e-02	-3.222049e-03	2.645879e-03	2.177057e-02	1.353117e-02	8.239408e-03
66            	4.619105e-01	2.269876e-01	2.349229e-01	-1.645411e-01	-1.228869e-02	-1.522524e-01	6.998186e-02	-3.967613e-03	2.582841e-03	2.311545e-02	1.414057e-02	8.974884e-03
67            	4.673900e-01	2.295370e-01	2.378529e-01	-1.498544e-01	-1.454927e-02	-1.353052e-01	6.037795e-02	-4.157946e-03	2.594064e-03	2.360616e-02	1.439714e-02	9.209016e-03
68            	4.713239e-01	2.316418e-01	2.396821e-01	-1.418636e-01	-2.206249e-02	-1.198011e-01	4.886929e-02	-4.020116e-03	2.686240e-03	2.375956e-02	1.456602e-02	9.193542e-03
69            	4.746118e-01	2.337503e-01	2.408616e-01	-1.364502e-01	-3.249507e-02	-1.039551e-01	3.573002e-02	-3.555651e-03	2.860506e-03	2.378611e-02	1.475356e-02	9.032548e-03
70            	4.763620e-01	2.351279e-01	2.412341e-01	-1.333697e-01	-4.394005e-02	-8.942961e-02	2.274478e-02	-3.053099e-03	3.116365e-03	2.406815e-02	1.515044e-02	8.917710e-03
71            	4.777608e-01	2.366965e-01	2.410642e-01	-1.296373e-01	-6.023723e-02	-6.940008e-02	4.581422e-03	-2.183846e-03	3.583243e-03	2.374957e-02	1.545803e-02	8.291543e-03
72            	4.762436e-01	2.362172e-01	2.400264e-01	-1.286569e-01	-7.307692e-02	-5.557998e-02	-8.748470e-03	-1.904598e-03	3.755730e-03	2.381778e-02	1.566462e-02	8.153159e-03
73            	4.737053e-01	2.351919e-01	2.385134e-01	-1.278976e-01	-8.935623e-02	-3.854133e-02	-2.540745e-02	-1.660748e-03	3.652570e-03	2.319924e-02	1.525219e-02	7.947052e-03
74            	4.699352e-01	2.334757e-01	2.364595e-01	-1.289322e-01	-1.070838e-01	-2.184840e-02	-4.261768e-02	-1.491912e-03	3.177736e-03	2.172982e-02	1.404265e-02	7.687176e-03
75            	4.651967e-01	2.311853e-01	2.340114e-01	-1.313018e-01	-1.249203e-01	-6.381508e-03	-5.926939e-02	-1.413064e-03	2.408104e-03	1.951293e-02	1.216457e-02	7.348361e-03
76            	4.600170e-01	2.286675e-01	2.313495e-01	-1.345229e-01	-1.419586e-01	7.435724e-03	-7.469718e-02	-1.340976e-03	1.415623e-03	1.668503e-02	9.758139e-03	6.926892e-03
77            	4.549298e-01	2.263061e-01	2.286237e-01	-1.384705e-01	-1.578000e-01	1.932951e-02	-8.856477e-02	-1.158778e-03	2.610893e-04	1.341850e-02	6.970339e-03	6.448160e-03
78            	4.505262e-01	2.244115e-01	2.261147e-01	-1.437113e-01	-1.723605e-01	2.864922e-02	-1.005049e-01	-8.516210e-04	-9.457808e-04	1.002952e-02	4.068979e-03	5.960540e-03
79            	4.469947e-01	2.229987e-01	2.239960e-01	-1.511065e-01	-1.855644e-01	3.445792e-02	-1.100112e-01	-4.986202e-04	-2.037786e-03	6.947682e-03	1.436055e-03	5.511627e-03
80            	4.438512e-01	2.218032e-01	2.220480e-01	-1.611625e-01	-1.970656e-01	3.590311e-02	-1.164844e-01	-1.223821e-04	-2.886642e-03	4.647576e-03	-5.628540e-04	5.210430e-03
81            	4.406593e-01	2.206330e-01	2.200263e-01	-1.741750e-01	-2.067104e-01	3.253549e-02	-1.196230e-01	3.033709e-04	-3.451578e-03	3.240879e-03	-1.831139e-03	5.072018e-03
82            	4.373432e-01	2.195882e-01	2.177550e-01	-1.877573e-01	-2.133208e-01	2.556350e-02	-1.194422e-01	9.166234e-04	-3.821813e-03	2.516614e-03	-2.563506e-03	5.080120e-03
83            	4.341538e-01	2.188376e-01	2.153162e-01	-1.997621e-01	-2.162513e-01	1.648920e-02	-1.163703e-01	1.760679e-03	-4.036251e-03	2.043461e-03	-3.014521e-03	5.057981e-03
84            	4.314309e-01	2.183360e-01	2.130949e-01	-2.086819e-01	-2.150653e-01	6.383332e-03	-1.107243e-01	2.620569e-03	-4.009118e-03	1.728553e-03	-3.144841e-03	4.873394e-03
85            	4.291838e-01	2.178210e-01	2.113629e-01	-2.128720e-01	-2.092174e-01	-3.654569e-03	-1.027814e-01	3.229037e-03	-3.669396e-03	1.572190e-03	-2.883301e-03	4.455491e-03
86            	4.272970e-01	2.171096e-01	2.101874e-01	-2.105494e-01	-1.977847e-01	-1.276474e-02	-9.250998e-02	3.461106e-03	-3.060538e-03	1.662029e-03	-2.229524e-03	3.891553e-03
87            	4.252825e-01	2.160898e-01	2.091927e-01	-2.019336e-01	-1.807015e-01	-2.123203e-02	-7.973475e-02	3.448517e-03	-2.139129e-03	1.544468e-03	-1.366895e-03	2.911363e-03
88            	4.231175e-01	2.147778e-01	2.083397e-01	-1.887537e-01	-1.587392e-01	-3.001452e-02	-6.436234e-02	3.219025e-03	-1.072234e-03	1.440705e-03	-3.518815e-04	1.792586e-03
89            	4.213613e-01	2.132729e-01	2.080884e-01	-1.731921e-01	-1.343850e-01	-3.880708e-02	-4.778896e-02	2.592270e-03	-1.363738e-04	1.939236e-03	8.332441e-04	1.105992e-03
90            	4.197957e-01	2.115089e-01	2.082869e-01	-1.586082e-01	-1.093765e-01	-4.923165e-02	-3.007243e-02	1.610993e-03	6.140162e-04	3.234482e-03	2.231257e-03	1.003225e-03
91            	4.181223e-01	2.095765e-01	2.085458e-01	-1.462974e-01	-8.664028e-02	-5.965708e-02	-1.349160e-02	5.153553e-04	9.505367e-04	4.918174e-03	3.409624e-03	1.508550e-03
92            	4.165848e-01	2.076672e-01	2.089176e-01	-1.373196e-01	-6.687065e-02	-7.044895e-02	1.789149e-03	-6.252158e-04	8.861747e-04	6.896465e-03	4.334407e-03	2.562058e-03
93            	4.157587e-01	2.063181e-01	2.094406e-01	-1.311821e-01	-5.270763e-02	-7.847452e-02	1.288344e-02	-1.561219e-03	4.446962e-04	8.589005e-03	4.739199e-03	3.849806e-03
94            	4.160157e-01	2.056341e-01	2.103817e-01	-1.285049e-01	-4.299262e-02	-8.551228e-02	2.125983e-02	-2.373795e-03	-4.171648e-05	1.009716e-02	5.006861e-03	5.090294e-03
95            	4.174295e-01	2.056502e-01	2.117793e-01	-1.291972e-01	-3.807522e-02	-9.112202e-02	2.652340e-02	-3.064521e-03	-3.693252e-04	1.121681e-02	5.239080e-03	5.977731e-03
96            	4.199744e-01	2.062539e-01	2.137204e-01	-1.322840e-01	-3.732514e-02	-9.495887e-02	2.881686e-02	-3.733257e-03	-4.902982e-04	1.206333e-02	5.541366e-03	6.521962e-03
97            	4.232558e-01	2.071971e-01	2.160587e-01	-1.365737e-01	-4.003675e-02	-9.653700e-02	2.825012e-02	-4.430805e-03	-3.710451e-04	1.277569e-02	6.016799e-03	6.758889e-03
98            	4.267268e-01	2.082584e-01	2.184684e-01	-1.408142e-01	-4.561435e-02	-9.519982e-02	2.479274e-02	-5.104995e-03	-6.066808e-05	1.318003e-02	6.529345e-03	6.650681e-03
99            	4.295729e-01	2.091176e-01	2.204553e-01	-1.439610e-01	-5.376733e-02	-9.019364e-02	1.821316e-02	-5.668830e-03	3.306359e-04	1.319695e-02	6.929110e-03	6.267839e-03
100           	4.308459e-01	2.094481e-01	2.213978e-01	-1.460934e-01	-6.467847e-02	-8.141497e-02	8.368247e-03	-5.974820e-03	6.879796e-04	1.276207e-02	7.069016e-03	5.693057e-03
101           	4.300768e-01	2.090637e-01	2.210131e-01	-1.480062e-01	-7.886018e-02	-6.914605e-02	-4.857066e-03	-5.974681e-03	9.319758e-04	1.192437e-02	6.894163e-03	5.030211e-03
102           	4.275109e-01	2.080773e-01	2.194336e-01	-1.503434e-01	-9.599710e-02	-5.434625e-02	-2.082543e-02	-5.678168e-03	1.020345e-03	1.065978e-02	6.350235e-03	4.309545e-03
103           	4.233905e-01	2.066389e-01	2.167516e-01	-1.549528e-01	-1.181660e-01	-3.678681e-02	-4.068957e-02	-5.056372e-03	8.796890e-04	8.910557e-03	5.334967e-03	3.575589e-03
104           	4.199771e-01	2.054684e-01	2.145087e-01	-1.566794e-01	-1.336103e-01	-2.306917e-02	-5.527055e-02	-4.520167e-03	5.459190e-04	7.652805e-03	4.372321e-03	3.280484e-03
105           	4.160813e-01	2.042328e-01	2.118485e-01	-1.612258e-01	-1.569094e-01	-4.316355e-03	-7.629652e-02	-3.807881e-03	7.654318e-05	6.269439e-03	3.211263e-03	3.058177e-03
106           	4.131448e-01	2.033105e-01	2.098343e-01	-1.651723e-01	-1.740624e-01	8.890121e-03	-9.147625e-02	-3.261921e-03	-2.665082e-04	5.625572e-03	2.546278e-03	3.079294e-03
107           	4.109739e-01	2.026086e-01	2.083653e-01	-1.699146e-01	-1.889553e-01	1.904066e-02	-1.039980e-01	-2.878366e-03	-3.749499e-04	5.375377e-03	2.312739e-03	3.062639e-03
108           	4.094807e-01	2.020920e-01	2.073887e-01	-1.755622e-01	-2.016307e-01	2.606849e-02	-1.138496e-01	-2.648380e-03	-1.607004e-04	5.501917e-03	2.590258e-03	2.911659e-03
109           	4.083350e-01	2.017021e-01	2.066329e-01	-1.822740e-01	-2.125577e-01	3.028366e-02	-1.214207e-01	-2.465376e-03	2.803705e-04	5.815816e-03	3.188278e-03	2.627537e-03
110           	4.071697e-01	2.012969e-01	2.058728e-01	-1.908095e-01	-2.227371e-01	3.192764e-02	-1.273324e-01	-2.287925e-03	7.574732e-04	6.141287e-03	3.828117e-03	2.313170e-03
111           	4.055807e-01	2.007146e-01	2.048661e-01	-2.009176e-01	-2.319198e-01	3.100218e-02	-1.314610e-01	-2.075777e-03	1.168452e-03	6.515431e-03	4.426168e-03	2.089263e-03
112           	4.035482e-01	1.999578e-01	2.035904e-01	-2.090765e-01	-2.366114e-01	2.753495e-02	-1.320732e-01	-1.816306e-03	1.450424e-03	7.194820e-03	5.047834e-03	2.146986e-03
113           	4.012194e-01	1.992639e-01	2.019554e-01	-2.181260e-01	-2.401393e-01	2.201333e-02	-1.310763e-01	-1.345761e-03	1.564679e-03	7.793687e-03	5.461523e-03	2.332164e-03
114           	3.988527e-01	1.986780e-01	2.001747e-01	-2.258163e-01	-2.398459e-01	1.402959e-02	-1.269378e-01	-7.483807e-04	1.560151e-03	8.428172e-03	5.774237e-03	2.653935e-03
