# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1301          	smoothSolver	3.833030e-03	3.022160e-04	10	3.818920e-02	3.693480e-03	9	2.932150e-02	2.336060e-03	10	false	GAMG	1.753910e-02	1.609800e-04	4	true
1302          	smoothSolver	3.836420e-03	3.034090e-04	10	3.813450e-02	3.704590e-03	9	2.940830e-02	2.344830e-03	10	false	GAMG	1.769630e-02	1.601390e-04	4	true
1303          	smoothSolver	3.839310e-03	3.042560e-04	10	3.814570e-02	3.728460e-03	9	2.948660e-02	2.352210e-03	10	false	GAMG	1.773060e-02	1.619420e-04	4	true
1304          	smoothSolver	3.846450e-03	3.046220e-04	10	3.819240e-02	3.753790e-03	9	2.965520e-02	2.360190e-03	10	false	GAMG	1.767780e-02	1.655010e-04	4	true
1305          	smoothSolver	3.853880e-03	3.046500e-04	10	3.822810e-02	3.764230e-03	9	2.989550e-02	2.367890e-03	10	false	GAMG	1.760220e-02	1.679010e-04	4	true
1306          	smoothSolver	3.858980e-03	3.034100e-04	10	3.832960e-02	3.758160e-03	9	3.019520e-02	2.374620e-03	10	false	GAMG	1.768320e-02	1.699430e-04	4	true
1307          	smoothSolver	3.861920e-03	3.848310e-04	9	3.849680e-02	3.736810e-03	9	3.052700e-02	3.029460e-03	9	false	GAMG	1.776650e-02	1.698410e-04	4	true
1308          	smoothSolver	3.873030e-03	3.844870e-04	9	3.846330e-02	3.681140e-03	9	3.083440e-02	3.025090e-03	9	false	GAMG	1.799410e-02	1.732580e-04	4	true
1309          	smoothSolver	3.888010e-03	3.848770e-04	9	3.850290e-02	3.653900e-03	9	3.097110e-02	3.013160e-03	9	false	GAMG	1.816890e-02	1.755300e-04	4	true
1310          	smoothSolver	3.902010e-03	3.859100e-04	9	3.858830e-02	3.650040e-03	9	3.092850e-02	2.995030e-03	9	false	GAMG	1.824700e-02	1.758310e-04	4	true
1311          	smoothSolver	3.902840e-03	3.875740e-04	9	3.861850e-02	3.665280e-03	9	3.067380e-02	2.974190e-03	9	false	GAMG	1.828340e-02	1.743770e-04	4	true
1312          	smoothSolver	3.894130e-03	3.892210e-04	9	3.854850e-02	3.688260e-03	9	3.024530e-02	2.949040e-03	9	false	GAMG	1.801260e-02	1.704420e-04	4	true
1313          	smoothSolver	3.870790e-03	3.072920e-04	10	3.836730e-02	3.712760e-03	9	2.973160e-02	2.920900e-03	9	false	GAMG	1.751520e-02	1.653610e-04	4	true
1314          	smoothSolver	3.828790e-03	3.069860e-04	10	3.830590e-02	3.756040e-03	9	2.925640e-02	2.905200e-03	9	false	GAMG	1.690600e-02	1.572440e-04	4	true
1315          	smoothSolver	3.786280e-03	3.064770e-04	10	3.804420e-02	3.782470e-03	9	2.874890e-02	2.267470e-03	10	false	GAMG	1.645330e-02	1.508980e-04	4	true
1316          	smoothSolver	3.753010e-03	3.059550e-04	10	3.777120e-02	2.992400e-03	10	2.812900e-02	2.240760e-03	10	false	GAMG	1.617920e-02	1.452460e-04	4	true
1317          	smoothSolver	3.734760e-03	3.056320e-04	10	3.726930e-02	2.984110e-03	10	2.766640e-02	2.228600e-03	10	false	GAMG	1.606730e-02	1.417740e-04	4	true
1318          	smoothSolver	3.726610e-03	3.048430e-04	10	3.692830e-02	2.977630e-03	10	2.740330e-02	2.222930e-03	10	false	GAMG	1.605880e-02	1.405420e-04	4	true
1319          	smoothSolver	3.729880e-03	3.039540e-04	10	3.678590e-02	2.970070e-03	10	2.728020e-02	2.221410e-03	10	false	GAMG	1.607240e-02	1.399780e-04	4	true
1320          	smoothSolver	3.745870e-03	3.037330e-04	10	3.674920e-02	2.963180e-03	10	2.724080e-02	2.221380e-03	10	false	GAMG	1.607950e-02	1.390110e-04	4	true
1321          	smoothSolver	3.767470e-03	3.046550e-04	10	3.676710e-02	2.960630e-03	10	2.727940e-02	2.224430e-03	10	false	GAMG	1.614710e-02	1.380900e-04	4	true
1322          	smoothSolver	3.796080e-03	3.063150e-04	10	3.682320e-02	2.964290e-03	10	2.738510e-02	2.231570e-03	10	false	GAMG	1.630790e-02	1.385400e-04	4	true
1323          	smoothSolver	3.822290e-03	3.078260e-04	10	3.691980e-02	2.969280e-03	10	2.754150e-02	2.241070e-03	10	false	GAMG	1.649130e-02	1.423580e-04	4	true
1324          	smoothSolver	3.840360e-03	3.097370e-04	10	3.706550e-02	2.977700e-03	10	2.773590e-02	2.253190e-03	10	false	GAMG	1.668490e-02	1.480330e-04	4	true
1325          	smoothSolver	3.857480e-03	3.119810e-04	10	3.714490e-02	2.987660e-03	10	2.794550e-02	2.266690e-03	10	false	GAMG	1.689950e-02	1.528320e-04	4	true
1326          	smoothSolver	3.869170e-03	3.140290e-04	10	3.720260e-02	2.998300e-03	10	2.816440e-02	2.276790e-03	10	false	GAMG	1.706670e-02	1.512990e-04	4	true
1327          	smoothSolver	3.870610e-03	3.148860e-04	10	3.729680e-02	3.012270e-03	10	2.839500e-02	2.284400e-03	10	false	GAMG	1.713280e-02	1.443800e-04	4	true
1328          	smoothSolver	3.867610e-03	3.154910e-04	10	3.760370e-02	3.029620e-03	10	2.865310e-02	2.294670e-03	10	false	GAMG	1.712840e-02	1.363110e-04	4	true
1329          	smoothSolver	3.872780e-03	3.165940e-04	10	3.797770e-02	3.046640e-03	10	2.891120e-02	2.308190e-03	10	false	GAMG	1.715170e-02	1.328480e-04	4	true
1330          	smoothSolver	3.899890e-03	3.179080e-04	10	3.833760e-02	3.063980e-03	10	2.914250e-02	2.322950e-03	10	false	GAMG	1.714390e-02	1.347390e-04	4	true
1331          	smoothSolver	3.931930e-03	3.191540e-04	10	3.863890e-02	3.088870e-03	10	2.934460e-02	2.333870e-03	10	false	GAMG	1.722200e-02	1.396790e-04	4	true
1332          	smoothSolver	3.960760e-03	3.204860e-04	10	3.889520e-02	3.114470e-03	10	2.949740e-02	2.343230e-03	10	false	GAMG	1.747620e-02	1.457750e-04	4	true
1333          	smoothSolver	3.985780e-03	3.217080e-04	10	3.899760e-02	3.135400e-03	10	2.962140e-02	2.353400e-03	10	false	GAMG	1.770780e-02	1.515640e-04	4	true
1334          	smoothSolver	4.000660e-03	3.220880e-04	10	3.904030e-02	3.153510e-03	10	2.970240e-02	2.368190e-03	10	false	GAMG	1.793780e-02	1.582910e-04	4	true
1335          	smoothSolver	4.007540e-03	3.216210e-04	10	3.903230e-02	3.166670e-03	10	2.975990e-02	2.389680e-03	10	false	GAMG	1.806480e-02	1.651790e-04	4	true
1336          	smoothSolver	4.004150e-03	3.205330e-04	10	3.902120e-02	3.170420e-03	10	2.985680e-02	2.410290e-03	10	false	GAMG	1.806020e-02	1.707090e-04	4	true
1337          	smoothSolver	4.001030e-03	3.196190e-04	10	3.917320e-02	3.177450e-03	10	3.006620e-02	2.430790e-03	10	false	GAMG	1.786910e-02	1.734990e-04	4	true
1338          	smoothSolver	4.006970e-03	3.192960e-04	10	3.951660e-02	3.190020e-03	10	3.038170e-02	2.452050e-03	10	false	GAMG	1.757680e-02	1.743030e-04	4	true
1339          	smoothSolver	4.012700e-03	3.194470e-04	10	3.999330e-02	3.205000e-03	10	3.076120e-02	2.475770e-03	10	false	GAMG	1.726180e-02	7.454720e-05	5	true
1340          	smoothSolver	4.014900e-03	3.199760e-04	10	4.047170e-02	3.221830e-03	10	3.118230e-02	2.504730e-03	10	false	GAMG	1.710830e-02	1.606530e-04	4	true
1341          	smoothSolver	4.020790e-03	3.213530e-04	10	4.069010e-02	3.221220e-03	10	3.138930e-02	2.518240e-03	10	false	GAMG	1.704610e-02	1.702650e-04	4	true
1342          	smoothSolver	4.025290e-03	3.222370e-04	10	4.084650e-02	3.219670e-03	10	3.165160e-02	2.540670e-03	10	false	GAMG	1.688050e-02	7.579110e-05	5	true
1343          	smoothSolver	4.032470e-03	3.229140e-04	10	4.084720e-02	3.218770e-03	10	3.179000e-02	2.557930e-03	10	false	GAMG	1.672170e-02	1.547520e-04	4	true
1344          	smoothSolver	4.043390e-03	3.236030e-04	10	4.065320e-02	3.209080e-03	10	3.168820e-02	2.560170e-03	10	false	GAMG	1.665940e-02	1.634230e-04	4	true
1345          	smoothSolver	4.045610e-03	3.230240e-04	10	4.040870e-02	3.210870e-03	10	3.158290e-02	2.565320e-03	10	false	GAMG	1.662000e-02	1.603370e-04	4	true
1346          	smoothSolver	4.046670e-03	3.215840e-04	10	4.007320e-02	3.208270e-03	10	3.135480e-02	2.563700e-03	10	false	GAMG	1.655800e-02	1.582770e-04	4	true
1347          	smoothSolver	4.036890e-03	3.196200e-04	10	3.965490e-02	3.197780e-03	10	3.103370e-02	2.558100e-03	10	false	GAMG	1.654750e-02	1.572440e-04	4	true
1348          	smoothSolver	4.017870e-03	3.178190e-04	10	3.912770e-02	3.176100e-03	10	3.066740e-02	2.548290e-03	10	false	GAMG	1.653990e-02	1.553760e-04	4	true
1349          	smoothSolver	4.000400e-03	3.165890e-04	10	3.864230e-02	3.148690e-03	10	3.038450e-02	2.533700e-03	10	false	GAMG	1.660140e-02	1.537620e-04	4	true
1350          	smoothSolver	3.986650e-03	3.157160e-04	10	3.831600e-02	3.117080e-03	10	3.021420e-02	2.516890e-03	10	false	GAMG	1.665590e-02	1.543800e-04	4	true
1351          	smoothSolver	3.978700e-03	3.147420e-04	10	3.818220e-02	3.083940e-03	10	3.018530e-02	2.498460e-03	10	false	GAMG	1.673150e-02	1.566170e-04	4	true
1352          	smoothSolver	3.980510e-03	3.134710e-04	10	3.824010e-02	3.053680e-03	10	3.033720e-02	2.484300e-03	10	false	GAMG	1.692730e-02	1.591020e-04	4	true
1353          	smoothSolver	3.987580e-03	3.976080e-04	9	3.842050e-02	3.024430e-03	10	3.061380e-02	2.475960e-03	10	false	GAMG	1.721500e-02	1.604490e-04	4	true
1354          	smoothSolver	4.010990e-03	3.970180e-04	9	3.849140e-02	3.790220e-03	9	3.087870e-02	2.462930e-03	10	false	GAMG	1.745220e-02	1.595970e-04	4	true
1355          	smoothSolver	4.020790e-03	3.960790e-04	9	3.879360e-02	3.779930e-03	9	3.110490e-02	2.452800e-03	10	false	GAMG	1.761330e-02	1.569890e-04	4	true
1356          	smoothSolver	4.022220e-03	3.953340e-04	9	3.890540e-02	3.764670e-03	9	3.129100e-02	3.108090e-03	9	false	GAMG	1.763370e-02	1.516080e-04	4	true
1357          	smoothSolver	4.007950e-03	3.941860e-04	9	3.879240e-02	3.730270e-03	9	3.155870e-02	3.116670e-03	9	false	GAMG	1.761210e-02	1.483910e-04	4	true
1358          	smoothSolver	4.003970e-03	3.937620e-04	9	3.852810e-02	3.691920e-03	9	3.168560e-02	3.114900e-03	9	false	GAMG	1.758620e-02	1.472670e-04	4	true
1359          	smoothSolver	4.016990e-03	3.946760e-04	9	3.820940e-02	3.656780e-03	9	3.172080e-02	3.105050e-03	9	false	GAMG	1.751570e-02	1.464190e-04	4	true
1360          	smoothSolver	4.041280e-03	3.955010e-04	9	3.798760e-02	3.623870e-03	9	3.175830e-02	3.092530e-03	9	false	GAMG	1.753920e-02	1.463990e-04	4	true
1361          	smoothSolver	4.063400e-03	3.959510e-04	9	3.793510e-02	3.602810e-03	9	3.171880e-02	3.079210e-03	9	false	GAMG	1.765070e-02	1.455800e-04	4	true
1362          	smoothSolver	4.080850e-03	3.957970e-04	9	3.793090e-02	3.599190e-03	9	3.164390e-02	3.070060e-03	9	false	GAMG	1.790930e-02	1.448310e-04	4	true
1363          	smoothSolver	4.093860e-03	3.951390e-04	9	3.779600e-02	3.602740e-03	9	3.146710e-02	3.064990e-03	9	false	GAMG	1.828960e-02	1.447560e-04	4	true
1364          	smoothSolver	4.086110e-03	3.945190e-04	9	3.751470e-02	3.608990e-03	9	3.124470e-02	3.062300e-03	9	false	GAMG	1.855270e-02	1.467120e-04	4	true
1365          	smoothSolver	4.069140e-03	3.947030e-04	9	3.722280e-02	3.623660e-03	9	3.095240e-02	3.063770e-03	9	false	GAMG	1.859210e-02	1.503000e-04	4	true
1366          	smoothSolver	4.048120e-03	3.962970e-04	9	3.700400e-02	3.649110e-03	9	3.073480e-02	3.071630e-03	9	false	GAMG	1.842140e-02	1.551250e-04	4	true
1367          	smoothSolver	4.041150e-03	3.991300e-04	9	3.698620e-02	3.679720e-03	9	3.072110e-02	2.424930e-03	10	false	GAMG	1.818750e-02	1.610210e-04	4	true
1368          	smoothSolver	4.039830e-03	4.026630e-04	9	3.726150e-02	3.715380e-03	9	3.070280e-02	2.424620e-03	10	false	GAMG	1.794100e-02	1.633150e-04	4	true
1369          	smoothSolver	4.048760e-03	3.196610e-04	10	3.767760e-02	3.745300e-03	9	3.086520e-02	2.435760e-03	10	false	GAMG	1.778370e-02	1.660350e-04	4	true
1370          	smoothSolver	4.046340e-03	3.216920e-04	10	3.839380e-02	3.794840e-03	9	3.127260e-02	2.470370e-03	10	false	GAMG	1.774890e-02	1.646910e-04	4	true
1371          	smoothSolver	4.056540e-03	3.246290e-04	10	3.906100e-02	3.845840e-03	9	3.167720e-02	2.507230e-03	10	false	GAMG	1.766110e-02	1.612780e-04	4	true
1372          	smoothSolver	4.077370e-03	3.276300e-04	10	3.973350e-02	3.899450e-03	9	3.209260e-02	2.547200e-03	10	false	GAMG	1.753660e-02	1.574940e-04	4	true
1373          	smoothSolver	4.111130e-03	3.305210e-04	10	4.037930e-02	3.958750e-03	9	3.253480e-02	2.589810e-03	10	false	GAMG	1.732370e-02	1.546010e-04	4	true
1374          	smoothSolver	4.145630e-03	3.334710e-04	10	4.099150e-02	4.020350e-03	9	3.295300e-02	2.634060e-03	10	false	GAMG	1.702190e-02	1.519520e-04	4	true
1375          	smoothSolver	4.176740e-03	3.356300e-04	10	4.139670e-02	4.072510e-03	9	3.328260e-02	2.678730e-03	10	false	GAMG	1.678830e-02	1.493430e-04	4	true
1376          	smoothSolver	4.201220e-03	3.373690e-04	10	4.171210e-02	4.124560e-03	9	3.352350e-02	2.719350e-03	10	false	GAMG	1.672120e-02	1.479660e-04	4	true
1377          	smoothSolver	4.226870e-03	3.390640e-04	10	4.194150e-02	4.179290e-03	9	3.370060e-02	2.751570e-03	10	false	GAMG	1.671920e-02	1.482640e-04	4	true
1378          	smoothSolver	4.252510e-03	3.402820e-04	10	4.204550e-02	3.330120e-03	10	3.382420e-02	2.775720e-03	10	false	GAMG	1.668900e-02	1.495320e-04	4	true
1379          	smoothSolver	4.276540e-03	3.417480e-04	10	4.185850e-02	3.341110e-03	10	3.396750e-02	2.803810e-03	10	false	GAMG	1.675440e-02	1.523450e-04	4	true
1380          	smoothSolver	4.290960e-03	3.429580e-04	10	4.171550e-02	3.358170e-03	10	3.403510e-02	2.824850e-03	10	false	GAMG	1.698960e-02	1.558610e-04	4	true
1381          	smoothSolver	4.301020e-03	3.436560e-04	10	4.159120e-02	3.375350e-03	10	3.403010e-02	2.833090e-03	10	false	GAMG	1.716280e-02	1.592710e-04	4	true
1382          	smoothSolver	4.316270e-03	3.443380e-04	10	4.159280e-02	3.397900e-03	10	3.402440e-02	2.829980e-03	10	false	GAMG	1.722530e-02	1.638480e-04	4	true
1383          	smoothSolver	4.323800e-03	3.441760e-04	10	4.169300e-02	3.419530e-03	10	3.400380e-02	2.817120e-03	10	false	GAMG	1.744760e-02	1.688470e-04	4	true
1384          	smoothSolver	4.326660e-03	3.425020e-04	10	4.188260e-02	3.433490e-03	10	3.397540e-02	2.793940e-03	10	false	GAMG	1.776530e-02	1.694580e-04	4	true
1385          	smoothSolver	4.321300e-03	3.395850e-04	10	4.208790e-02	3.433470e-03	10	3.391130e-02	2.762990e-03	10	false	GAMG	1.799260e-02	1.683950e-04	4	true
1386          	smoothSolver	4.310760e-03	4.287190e-04	9	4.234520e-02	3.423840e-03	10	3.381040e-02	2.731360e-03	10	false	GAMG	1.825030e-02	1.644560e-04	4	true
1387          	smoothSolver	4.310630e-03	4.265370e-04	9	4.240240e-02	3.401070e-03	10	3.361020e-02	2.690180e-03	10	false	GAMG	1.879300e-02	1.615600e-04	4	true
1388          	smoothSolver	4.300710e-03	4.243060e-04	9	4.257100e-02	3.393250e-03	10	3.337590e-02	2.648590e-03	10	false	GAMG	1.912740e-02	1.634530e-04	4	true
1389          	smoothSolver	4.281170e-03	4.215140e-04	9	4.265830e-02	3.382720e-03	10	3.308690e-02	2.601690e-03	10	false	GAMG	1.924790e-02	1.678470e-04	4	true
1390          	smoothSolver	4.253960e-03	4.183970e-04	9	4.250500e-02	3.350630e-03	10	3.262450e-02	3.242410e-03	9	false	GAMG	1.932730e-02	1.715050e-04	4	true
1391          	smoothSolver	4.226450e-03	4.142040e-04	9	4.217010e-02	4.183510e-03	9	3.229100e-02	3.181910e-03	9	false	GAMG	1.967940e-02	1.749330e-04	4	true
1392          	smoothSolver	4.213910e-03	4.086280e-04	9	4.194000e-02	4.121160e-03	9	3.201990e-02	3.113380e-03	9	false	GAMG	2.023260e-02	1.748040e-04	4	true
1393          	smoothSolver	4.197890e-03	4.029910e-04	9	4.172600e-02	4.045280e-03	9	3.184230e-02	3.056510e-03	9	false	GAMG	2.074830e-02	1.734060e-04	4	true
